idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2044,287,2023-12-31,di,2023-01-06 10:27:26,gabriel.g,2023-01-06 10:27:26,gabriel.g
2044,289,2024-01-31,di,2023-01-06 10:28:06,gabriel.g,2023-01-06 10:28:06,gabriel.g
2045,290,2023-05-31,di,2023-01-06 10:16:45,gabriel.g,2023-01-06 10:16:45,gabriel.g
2045,291,2023-10-15,di,2023-01-06 10:17:05,gabriel.g,2023-01-06 10:17:05,gabriel.g
2045,292,2023-10-31,di,2023-01-06 10:17:20,gabriel.g,2023-01-06 10:17:20,gabriel.g
2045,293,2023-03-31,di,2023-01-06 10:17:43,gabriel.g,2023-01-06 10:17:43,gabriel.g
2045,294,2023-07-15,di,2023-01-06 10:18:00,gabriel.g,2023-01-06 10:18:00,gabriel.g
2045,295,2023-07-31,di,2023-01-06 10:18:14,gabriel.g,2023-01-06 10:18:14,gabriel.g
2045,296,2023-03-31,di,2023-01-06 10:18:39,gabriel.g,2023-01-06 10:18:39,gabriel.g
2045,297,2023-08-15,di,2023-01-06 10:18:55,gabriel.g,2023-01-06 10:18:55,gabriel.g
2045,298,2023-08-31,di,2023-01-06 10:19:10,gabriel.g,2023-01-06 10:19:10,gabriel.g
2045,299,2023-02-28,di,2023-01-06 10:19:39,gabriel.g,2023-01-06 10:19:39,gabriel.g
2045,300,2023-12-31,di,2023-01-06 10:20:04,gabriel.g,2023-01-06 10:20:04,gabriel.g
2045,301,2024-01-15,di,2023-01-06 10:20:21,gabriel.g,2023-01-06 10:20:21,gabriel.g
2045,302,2023-05-31,di,2023-01-06 10:20:46,gabriel.g,2023-01-06 10:20:46,gabriel.g
2045,303,2023-09-15,di,2023-01-06 10:21:03,gabriel.g,2023-01-06 10:21:03,gabriel.g
2045,304,2023-09-30,di,2023-01-06 10:21:18,gabriel.g,2023-01-06 10:21:18,gabriel.g
2045,306,2024-01-31,di,2023-01-06 10:22:15,gabriel.g,2023-01-06 10:22:15,gabriel.g
