id,descricao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
ana,Em Análise,2018-03-17 20:41:37,rnascimento,2018-03-17 20:41:37,rnascimento
apr,Aprovado,2018-03-17 20:41:37,rnascimento,2018-03-17 20:41:37,rnascimento
lib,Liberado,2019-01-11 22:47:28,rnascimento,2019-01-11 22:47:28,rnascimento
nov,Novo,2018-03-17 20:41:37,rnascimento,2018-03-17 20:41:37,rnascimento
pag,Pago,2019-01-11 22:47:28,rnascimento,2019-01-11 22:47:28,rnascimento
pen,Pendente,2018-03-17 20:41:37,rnascimento,2018-03-17 20:41:37,rnascimento
rea,Reanálise,2018-03-17 20:41:37,rnascimento,2018-03-17 20:41:37,rnascimento
