id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
100,01923291000152,3374,de 26 a 50%,0,50,0,0,0,0,0,Comério e Serviço,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede/Sala Alugada,otimo,0,135,até 25%,de 26 a 50%,2023-04-05 05:36:31.448034
101,28783217000134,11816,de 51 a 75%,0,28,0,0,0,2,0,Agronegócio,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede/Sala Alugada,Prédio conservado,0,30,de 76 a 100%,até 25%,2023-04-05 05:36:31.459867
102,06008847000107,11003,de 0 a 25%,0,20,2,0,0,0,0,Indústria,Não,de 1 a 3 vendedores,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não tem,Sede Própria,Espaço pequeno para escritório,0,70,até 25%,de 51 a 75%,2023-04-05 05:36:31.470365
103,64612104000130,2766,Não possuem a informação,0,32,0,0,0,0,0,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 100 PESSOAS, POSSUI SALA REUNIÃO PARA 100 PESSOAS, POSSUI SALA TREINAMENTO PARA 100 PESSOAS,",0,49,até 25%,Não informado,2023-04-05 05:36:31.48782
104,45745551000112,1875,Não possuem a informação,0,207,1,1,0,11,1,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 50 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",1,48,até 25%,Não informado,2023-04-05 05:36:31.499099
105,05495654000157,11415,Não possuem a informação,0,12,0,0,0,2,0,Não possuem a informação,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não tem,Não informado,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",0,38,até 25%,de 76 a 100%,2023-04-05 05:36:31.509174
106,02276749000191,11910,de 51 a 75%,150,255,80,35,50,120,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Prédio é de 02 pisos, sendo o piso inferior com salas alugadas para prefeitura municipal que instalou a sala do empreendedor; já no piso superior possui sala administrativa, câmara de mediação e arbitragem, auditório para 120 pessoas, salas de treinamento e coworking. O prédio foi totalmente revitalizado/reformado recentemente.",35,350,até 25%,de 51 a 75%,2023-04-05 05:36:31.519887
107,51082659000175,11420,Não possuem a informação,150,330,5,0,0,10,6,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,NÃO,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 200 PESSOAS, POSSUI SALA REUNIÃO PARA 70 PESSOAS, POSSUI SALA TREINAMENTO PARA 70 PESSOAS,",0,40,DE 51 A 75%,Não informado,2023-04-05 05:36:31.535008
108,49704927000100,11346,Não possuem a informação,151,280,10,4,0,14,33,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 120 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, POSSUI SALA TREINAMENTO PARA 60 PESSOAS,",4,85,DE 26 A 50%,Não informado,2023-04-05 05:36:31.545982
109,55859425000142,3236,Não possuem a informação,153,324,31,42,0,29,34,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 80 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",42,80,DE 51 A 75%,Não informado,2023-04-05 05:36:31.556103
110,89777205000191,2947,de 26 a 50%,156,131,47,4,0,0,0,Outros,Não,Não há vendedor.,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Da Mulher,Sede Própria,"Vendemos a atual sala e iniciamos a construção da nova sede, previsão de inaugurar 2023.",4,426,de 26 a 50%,de 26 a 50%,2023-04-05 05:36:31.566486
111,16888992000175,2942,de 0 a 25%,160,160,0,1,0,6,0,Outros,Não,Não há vendedor.,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"Prédio conservado, sala de reunião, auditório,",1,121,até 25%,de 76 a 100%,2023-04-05 05:36:31.578803
112,55142970000113,2354,Não possuem a informação,162,200,40,12,0,145,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, POSSUI SALA TREINAMENTO PARA 30 PESSOAS,",12,55,DE 76 A 100%,Não informado,2023-04-05 05:36:31.589321
113,50179886000150,11498,Não possuem a informação,165,161,23,0,0,0,21,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 60 PESSOAS, POSSUI SALA REUNIÃO PARA 13 PESSOAS, POSSUI SALA TREINAMENTO PARA 60 PESSOAS,",0,70,DE 51 A 75%,Não informado,2023-04-05 05:36:31.599063
114,50452960000160,1904,Não possuem a informação,165,363,0,0,0,0,202,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 150 PESSOAS, POSSUI SALA REUNIÃO PARA 30 PESSOAS, POSSUI SALA TREINAMENTO PARA 150 PESSOAS,",0,42,DE 76 A 100%,Não informado,2023-04-05 05:36:31.609747
115,84591858000168,2875,de 0 a 25%,167,99,29,4,0,17,0,Indústria,Não,Não há vendedor.,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Prédio conservado, sala de reuniões, auditório.",4,554,até 25%,de 26 a 50%,2023-04-05 05:36:31.62038
116,83453001000119,2099,de 0 a 25%,168,182,42,5,14,41,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Outros,Sede Própria,"Prédio Empresarial
Instalações Modernas
Sede própria com salas para locação
Bem localizado, no centro da cidade",5,334,até 25%,de 51 a 75%,2023-04-05 05:36:31.630942
117,76898527000147,2319,de 26 a 50%,169,207,13,3,9,90,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,Sede própria conservado com salas para locações e bom espaço,3,278,de 26 a 50%,de 51 a 75%,2023-04-05 05:36:31.642324
118,83524728000140,3034,de 26 a 50%,170,130,56,0,15,23,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,Prédio conservado com sala de reuniões e auditório para 100 pessoas,0,337,de 26 a 50%,de 51 a 75%,2023-04-05 05:36:31.653561
119,60179769000140,11416,Não possuem a informação,170,422,156,0,0,62,575,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 200 PESSOAS, POSSUI SALA REUNIÃO PARA 15 PESSOAS, POSSUI SALA TREINAMENTO PARA 30 PESSOAS,",0,60,DE 51 A 75%,Não informado,2023-04-05 05:36:31.66339
120,50731074000176,11391,Não possuem a informação,170,190,3,83,0,47,40,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",83,55,DE 76 A 100%,Não informado,2023-04-05 05:36:31.67364
121,78246535000134,3119,de 51 a 75%,172,248,64,0,3,20,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Da Mulher,Sede Própria,"Predio com 3 pavimentos, sendo dois da Associação Comercial que totalizam 880 m, possui auditorio para até 100 pessoas, tres salas de treinamentos e 01 sala de reuniões da diretoria.",0,60,de 51 a 75%,de 26 a 50%,2023-04-05 05:36:31.684828
122,89687487000136,1800,de 26 a 50%,172,181,48,3,6,,,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede/Sala Alugada,"Temos a nossa sede própria porém não comporta nossa necessidade. Prédio locado com 8 salas comerciais, auditório 80 pax, sala para coffebreak, estacionamento, bem localizado",3,1500,de 26 a 50%,Não informado,2023-04-05 05:36:31.694923
123,90740986000129,11276,de 26 a 50%,175,317,39,20,0,0,0,Agronegócio,Não,Não há vendedor.,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Outros,Sede Própria,"Prédio próprio com auditório, 3 salas de cursos, 3 salas de reuniões e 1 sala de videoconferência.",20,260,de 26 a 50%,Não informado,2023-04-05 05:36:31.705419
124,89311427000114,2945,de 26 a 50%,176,100,43,0,4,12,0,Outros,Sim,de 1 a 3 vendedores,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Da Mulher,Sede Própria,"Prédio em ótimas condições, salas estruturadas para receber publico e espaço para eventos de poucas pessoas.",0,544,de 26 a 50%,Não informado,2023-04-05 05:36:31.727267
125,51637932000180,1781,Não possuem a informação,1,75,0,2,0,10,0,Não possuem a informação,Não,Não há vendedor.,Não,Não,Sim,NÃO,Sim,Não,Não,Não,Sim,Não,Não tem,Não informado,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",2,60,até 25%,DE 51 A 75%,2023-04-05 05:36:31.737721
126,51397818000120,2243,Não possuem a informação,2,92,1,5,0,42,2,Não possuem a informação,Não,Não há vendedor.,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não tem,Não informado,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",5,62,até 25%,DE 51 A 75%,2023-04-05 05:36:31.749179
127,89501852000176,2076,de 26 a 50%,3,53,6,7,2,7,4,Agronegócio,Não,Não há vendedor.,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não tem,Sede Própria,"prédio conservado, com salas de reunião e salão de festas",7,144,de 26 a 50%,até 25%,2023-04-05 05:36:31.75944
128,04825297000185,11852,de 26 a 50%,4,26,8,12,0,28,22,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não tem,Sede/Sala Alugada,conservado,12,55,de 26 a 50%,até 25%,2023-04-05 05:36:31.769653
129,44537215000111,2298,Não possuem a informação,176,422,32,1,0,20,19,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, NÃO POSSUI SALA TREINAMENTO.",1,35,DE 51 A 75%,Não informado,2023-04-05 05:36:31.780181
130,44921971000140,2297,Não possuem a informação,178,390,25,15,0,100,32,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 30 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",15,70,DE 51 A 75%,Não informado,2023-04-05 05:36:31.790079
131,45372372000187,2459,Não possuem a informação,178,405,119,12,0,66,7,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 70 PESSOAS, POSSUI SALA REUNIÃO PARA 30 PESSOAS, POSSUI SALA TREINAMENTO PARA 70 PESSOAS,",12,73,DE 51 A 75%,Não informado,2023-04-05 05:36:31.800175
132,14092589000100,3178,de 0 a 25%,179,24,0,0,0,14,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Da Mulher,Sede/Sala Alugada,Sim,0,400,de 26 a 50%,de 26 a 50%,2023-04-05 05:36:31.810993
133,44483568000186,1780,Não possuem a informação,179,352,97,46,0,73,58,Não possuem a informação,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 90 PESSOAS, POSSUI SALA REUNIÃO PARA 90 PESSOAS, POSSUI SALA TREINAMENTO PARA 90 PESSOAS,",46,92,DE 51 A 75%,Não informado,2023-04-05 05:36:31.820497
134,49919863000156,2182,Não possuem a informação,180,365,122,0,0,45,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 100 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",0,45,DE 76 A 100%,Não informado,2023-04-05 05:36:31.830179
135,88336557000149,3497,de 51 a 75%,181,62,20,0,15,11,0,Comério e Serviço,Não,Não há vendedor.,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Da Mulher,Sede Própria,"A sede da CICS Canoas está situada em um prédio comercial de 09 andares, que a própria entidade e empresários locais ajudaram a construir. A mesma possui 04 salas comerciais para locação no térreo, 01 Salão Nobre no 8ºandar (recentemente passou por reformas significativas como troca do sistema de climatização, novo projeto elétrico, cortinas e papel de parede) e o administrativo no 9º andar (recentemente passou por modernização do layout das salas, mobiliários, iluminação e climatização).",0,469,de 26 a 50%,até 25%,2023-04-05 05:36:31.840017
136,47567342000151,3361,Não possuem a informação,182,121,8,0,0,33,0,Não possuem a informação,Não,Não há vendedor.,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"NÃO POSSUI AUDITORIO, POSSUI SALA REUNIÃO PARA 40 PESSOAS, POSSUI SALA TREINAMENTO PARA 40 PESSOAS,",0,67,até 25%,Não informado,2023-04-05 05:36:31.850041
137,03563269000174,1991,de 26 a 50%,184,166,0,18,0,0,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não tem,Sede Própria,sede antiga.,18,300,até 25%,até 25%,2023-04-05 05:36:31.860298
138,16837619000195,3021,de 51 a 75%,186,126,29,0,2,4,16,Outros,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"De forma geral, as condições da sede estão boas, o prédio é relativamente novo, há apenas alguns locais isolados com pequenas infiltrações. As Salas de Reuniões e o Auditório encontram-se em perfeito estado.",0,155,de 26 a 50%,até 25%,2023-04-05 05:36:31.870107
139,75326371000167,1992,de 76 a 100%,150,600,400,0,0,0,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"Predio coservado, sede própria, sala de reuniões, auditório, com espaço conjugado para eventos",0,120,até 25%,até 25%,2023-04-05 05:36:31.880816
140,54851381000141,2340,Não possuem a informação,186,402,72,26,0,152,1,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 125 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, POSSUI SALA TREINAMENTO PARA 30 PESSOAS,",26,45,DE 51 A 75%,Não informado,2023-04-05 05:36:31.891347
141,13450945000157,2685,de 51 a 75%,10,15,5,0,5,3,0,Comério e Serviço,Sim,Não há vendedor.,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não tem,Sede Própria,"Espaço amplo, localizado na principal avenida da cidade, com salas, auditório, banheiros em bom estado.",0,90,de 76 a 100%,até 25%,2023-04-05 05:36:31.901882
142,44528065000180,2213,Não possuem a informação,187,236,15,6,0,34,2,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 8 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",6,81,DE 51 A 75%,Não informado,2023-04-05 05:36:31.911352
143,19829498000128,11128,de 26 a 50%,200,250,50,100,50,100,2300,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Sede nova completa com Teatro, Salão de Eventos, Salão de treinamentos, Sala de Aula, Salas de Reuniões, Cowork, Área externa para eventos, etc.",100,146,de 51 a 75%,de 26 a 50%,2023-04-05 05:36:31.922641
144,89391056000128,2064,de 0 a 25%,200,300,200,0,0,50,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não tem,Sede Própria,ÓTIMO,0,250,de 76 a 100%,até 25%,2023-04-05 05:36:31.932568
145,44434587000112,2014,Não possuem a informação,200,540,100,0,0,228,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 150 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, NÃO POSSUI SALA TREINAMENTO.",0,49,DE 51 A 75%,Não informado,2023-04-05 05:36:31.942129
146,51507580000149,3353,Não possuem a informação,200,105,1,23,0,20,27,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 100 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, POSSUI SALA TREINAMENTO PARA 100 PESSOAS,",23,48,DE 51 A 75%,Não informado,2023-04-05 05:36:31.952682
147,45085982000108,2496,Não possuem a informação,201,672,6,0,0,28,64,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 120 PESSOAS, POSSUI SALA REUNIÃO PARA 12 PESSOAS, NÃO POSSUI SALA TREINAMENTO.",0,40,DE 51 A 75%,Não informado,2023-04-05 05:36:31.962262
148,96755541000107,3267,de 51 a 75%,202,73,46,0,4,4,314,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"02 auditórios, 4 salas de reuniões, 2 salões de festas",0,409,de 26 a 50%,de 26 a 50%,2023-04-05 05:36:31.972363
149,12508657000143,11911,de 26 a 50%,202,197,66,25,0,0,0,Agronegócio,Não,Não há vendedor.,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"são 02 andares no mesmo prédio, com salas de reuniões, auditório, espaço Gourmet, sala Coworking",25,200,de 51 a 75%,Não informado,2023-04-05 05:36:31.982912
150,44727840000126,11426,Não possuem a informação,41,40,42,5,0,8,22,Não possuem a informação,Não,Não há vendedor.,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Não informado,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",5,70,DE 26 A 50%,DE 51 A 75%,2023-04-05 05:36:31.993314
151,78197217000120,2983,de 26 a 50%,49,41,2,1,1,2,2,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Outros,Sede Própria,Sala em prédio novo com sala para reuniões e espaço para eventos,1,132,de 76 a 100%,até 25%,2023-04-05 05:36:32.005938
152,03715373000137,1772,Não possuem a informação,57,91,3,0,0,20,0,Não possuem a informação,Não,Não há vendedor.,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não tem,Não informado,"POSSUI AUDITORIO COM CAPACIDADE PARA 20 PESSOAS, POSSUI SALA REUNIÃO PARA 20 PESSOAS, POSSUI SALA TREINAMENTO PARA 20 PESSOAS,",0,40,até 25%,DE 51 A 75%,2023-04-05 05:36:32.016882
153,03909157000122,2272,de 0 a 25%,60,45,2,3,10,20,10,Comério e Serviço,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,espaço para eventos,3,70,de 26 a 50%,até 25%,2023-04-05 05:36:32.028351
154,44936557000104,2780,Não possuem a informação,60,108,3,7,0,15,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"NÃO POSSUI AUDITORIO, NÃO POSSUI SALA REUNIAO, NÃO POSSUI SALA TREINAMENTO.",7,68,DE 76 A 100%,Não informado,2023-04-05 05:36:32.038667
155,92465202000127,11266,de 51 a 75%,74,64,12,14,0,0,0,Comério e Serviço,Sim,Não há vendedor.,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Da Mulher,Sede/Sala Alugada,sala alugada em espaço de entrada de garagem,14,66,de 26 a 50%,Não informado,2023-04-05 05:36:32.048514
156,20030573000175,1826,de 51 a 75%,86,153,12,2,0,51,202,Agronegócio,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não tem,Sede Própria,"Prédio antigo bem reformado, muito bem conservado com sala de reuniões, sala de treinamento com 40 lugares com equipamentos modernos, auditório com 44 lugares também com equipamentos modernos. Não temos espaço próprio para eventos festivos.",2,110,de 51 a 75%,até 25%,2023-04-05 05:36:32.059173
157,51442556000179,11372,Não possuem a informação,91,36,6,0,0,9,0,Não possuem a informação,Não,Não há vendedor.,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede Própria,"NÃO POSSUI AUDITORIO, POSSUI SALA REUNIÃO PARA 12 PESSOAS, NÃO POSSUI SALA TREINAMENTO.",0,60,até 25%,Não informado,2023-04-05 05:36:32.069541
158,90477555000111,3306,de 51 a 75%,103,50,13,12,102,8,7,Agronegócio,Sim,acima de 7 vendedores,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"EM BOM ESTADO, PRÉDIO BEM CONSERVADO",12,158,de 26 a 50%,de 51 a 75%,2023-04-05 05:36:32.079885
159,78113628000190,11311,de 76 a 100%,110,158,4,0,5,38,2,Comério e Serviço,Não,Não há vendedor.,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Sede em excelente estado de conservação com escritórios para colaboradores, copa, 4 lavabos, 1 auditório com capacidade para 100 pessoas e 1 sala de reuniões com capacidade para 10 pessoas",0,92,de 26 a 50%,de 26 a 50%,2023-04-05 05:36:32.090954
160,19277987000114,2868,de 76 a 100%,145,145,145,145,145,145,,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Outros,Sede Própria,"Prédio centenário, não tombado, reformado. Auditório pra locação e pontos comerciais.",145,70,de 26 a 50%,até 25%,2023-04-05 05:36:32.104137
161,50168160000112,1860,Não possuem a informação,145,156,29,0,0,13,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Da Mulher,Não informado,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 15 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",0,53,DE 51 A 75%,Até 25%,2023-04-05 05:36:32.113755
162,48546881000177,11360,Não possuem a informação,186,278,10,2,0,36,6,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 50 PESSOAS, POSSUI SALA REUNIÃO PARA 10 PESSOAS, POSSUI SALA TREINAMENTO PARA 50 PESSOAS,",2,55,DE 26 A 50%,Não informado,2023-04-05 05:36:32.123648
163,03669898000183,11296,de 26 a 50%,189,284,82,0,0,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"Sede possui mais de 1.200m², 2 salas de treinamento, 1 auditório, 1 sala de convivência, escritório, 2 cozinhas, 2 sala de reuniões, 2 almoxarifados, etc.",0,306,de 76 a 100%,até 25%,2023-04-05 05:36:32.133117
164,89963888000171,3500,de 51 a 75%,332,230,231,0,0,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Da Mulher,Sede Própria,"Prédio inaugurado em 2005, com auditório, sala de reuniões, salão de eventos e salas de trabalho.",0,1212,de 76 a 100%,até 25%,2023-04-05 05:36:32.142895
165,51915072000108,11425,Não possuem a informação,202,284,21,8,0,54,0,Não possuem a informação,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não tem,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 40 PESSOAS, POSSUI SALA REUNIÃO PARA 12 PESSOAS, POSSUI SALA TREINAMENTO PARA 40 PESSOAS,",8,54,DE 51 A 75%,Não informado,2023-04-05 05:36:32.161137
166,01670983000136,2392,de 26 a 50%,204,187,15,0,0,34,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Da Mulher,Sede Própria,"PRÉDIO SEMINOVO, SALA DE TREINAMENTO/REUNIÕES, AUDITÓRIO, RALL DE EVENTOS, SALAS PARA ALUGUEL",0,500,até 25%,de 26 a 50%,2023-04-05 05:36:32.171828
