id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
17182,03669898000183,11296,de 26 a 50%,189,284,82,0,0,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"Sede possui mais de 1.200m², 2 salas de treinamento, 1 auditório, 1 sala de convivência, escritório, 2 cozinhas, 2 sala de reuniões, 2 almoxarifados, etc.",0,306,de 76 a 100%,até 25%,2023-04-05 04:28:10.679692
17183,19439561000110,2867,de 0 a 25%,200,200,20,50,1000,1000,100,Comério e Serviço,Sim,de 4 a 6 vendedores,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Atualmente em um prédio na região central, imóvel mais antigo, porem todo reformado. Sede nova em construção. Status: Em andamento (25%)",50,50,de 76 a 100%,até 25%,2023-04-05 04:28:10.694375
17184,20658621000174,2951,de 51 a 75%,200,300,50,20,10,20,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Outros,Sede Própria,Prédio novo,20,110,de 26 a 50%,de 51 a 75%,2023-04-05 04:28:10.706668
17185,19829498000128,11128,de 26 a 50%,200,250,50,100,50,100,2300,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,"Sede nova completa com Teatro, Salão de Eventos, Salão de treinamentos, Sala de Aula, Salas de Reuniões, Cowork, Área externa para eventos, etc.",100,146,de 51 a 75%,de 26 a 50%,2023-04-05 04:28:10.72011
17186,89391056000128,2064,de 0 a 25%,200,300,200,0,0,50,0,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não tem,Sede Própria,ÓTIMO,0,250,de 76 a 100%,até 25%,2023-04-05 04:28:10.742015
17187,01670983000136,2392,de 26 a 50%,204,187,15,0,0,34,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Da Mulher,Sede Própria,"PRÉDIO SEMINOVO, SALA DE TREINAMENTO/REUNIÕES, AUDITÓRIO, RALL DE EVENTOS, SALAS PARA ALUGUEL",0,500,até 25%,de 26 a 50%,2023-04-05 04:28:10.788142
17188,12508657000143,13092,de 26 a 50%,202,197,66,25,0,0,0,Agronegócio,Não,Não há vendedor.,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"são 02 andares no mesmo prédio, com salas de reuniões, auditório, espaço Gourmet, sala Coworking",25,200,de 51 a 75%,Não informado,2023-04-05 04:28:10.819382
17189,92807700000100,2585,de 0 a 25%,217,86,20,2,2,2,45,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Da Mulher,Sede Própria,"Prédio Histórico, conservado",2,606,até 25%,de 51 a 75%,2023-04-05 04:28:10.874695
17190,77092559000113,1943,de 76 a 100%,223,286,15,18,0,63,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,prédio próprio/salas/bem conservado/3 salas/estúdio de gravação/sala de reuniões/auditório.,18,331,de 26 a 50%,de 26 a 50%,2023-04-05 04:28:10.90904
17191,89833400000000,13093,de 0 a 25%,230,153,110,10,35,12,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Da Mulher,Sede Própria,otima,10,190,até 25%,de 26 a 50%,2023-04-05 04:28:10.93413
17192,75319848000187,3404,de 76 a 100%,250,26,190,10,40,86,5,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"Prédio conservado, um auditório para 50 pessoas.",10,1368,até 25%,de 76 a 100%,2023-04-05 04:28:10.963041
17193,23774268000186,2990,de 51 a 75%,281,403,9,3,66,46,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,Temos uma sede com mais de 1 mil metros de área construída novo e com 2 salas de treinamentos.,3,120,de 51 a 75%,Não informado,2023-04-05 04:28:11.002242
17194,95820593000149,1851,de 26 a 50%,296,193,68,6,0,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Outros,Sede Própria,"Prédio antigo, bem conservado. Possui duas salas de reuniões (50 e 100 lugares).",6,339,de 76 a 100%,de 26 a 50%,2023-04-05 04:28:11.020959
17195,12319067000172,2659,de 26 a 50%,300,408,84,8,12,28,36,Comério e Serviço,Não,Não há vendedor.,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Da Mulher,Sede Própria,"A Associação Comercial de Maceió possui um prédio antigo, porém, bem conservado, tombado como patrimônio histórico. Temos salas para reuniões com capacidade à partir de 60 pessoas (sentadas), auditório com capacidade para 200 pessoas (sentadas), espaços como hall de entrada para eventos diversos como Workshopp, Cursos, Treinamentos, Coquetel, Ações Culturais, etc.",8,450,de 76 a 100%,até 25%,2023-04-05 04:28:11.035697
17196,05888401000143,10954,de 0 a 25%,,,,,,,0,Comério e Serviço,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede/Sala Alugada,NÃO TENHO SEDE,,0,até 25%,até 25%,2023-04-05 04:28:11.049341
17197,54403910000144,2772,Não possuem a informação,2008,2666,465,0,0,810,0,Não possuem a informação,Sim,de 4 a 6 vendedores,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Da Mulher,Sede Própria,"POSSUI AUDITORIO COM CAPACIDADE PARA 201 PESSOAS, POSSUI SALA REUNIÃO PARA 66 PESSOAS, POSSUI SALA TREINAMENTO PARA 308 PESSOAS,",0,33,DE 51 A 75%,Não informado,2023-04-05 04:28:11.071183
17198,86445657000188,3473,de 0 a 25%,366,217,63,0,18,93,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Da Mulher,Sede Própria,"Prédio conservado, com administrativo, sala de reunião, sala de diretoria, 03 auditórios menores, 01 auditório grande, 04 salas para consultores e locações.",0,530,de 51 a 75%,de 26 a 50%,2023-04-05 04:28:11.11667
17199,92865906000197,10030,de 51 a 75%,422,30,290,0,20,88,515,Indústria,Sim,de 1 a 3 vendedores,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"Prédio Conservado, salas de reuniões e cursos, auditório, bar executivo, Escola De Formação Profissional SENAI prédio próprio e novo.",0,406,de 26 a 50%,de 26 a 50%,2023-04-05 04:28:11.129679
17200,03859295000144,2106,de 51 a 75%,446,535,44,21,8,86,17,Agronegócio,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não tem,Sede Própria,"CONSERVADO, TEM DUAS SALAS DE REUNIÕES, AUDITORIO, ESTACIONAMENTO, espaço para eventos, etc",21,120,de 26 a 50%,de 51 a 75%,2023-04-05 04:28:11.142465
