idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
proxlan,vlrcfin,Receita - Contrapatida Financeira,sin,vlrcfin,"SUM(CASE WHEN lan.tpfonterec = 'contr' AND lan.flecofin = 'fin' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcfin",,Esgn_Formata::valor,"epp, cha, ufp, gpr"
proxlan,vlrcsub,Receita - Contrapartida,sin,vlrcsub,"SUM(CASE WHEN lan.tpfonterec = 'contr' AND lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrcsub",,Esgn_Formata::valor,"epp, cha, ufp, gpr"
proxlan,vlrtot,Receita - Total,sin,vlrtot,"SUM(CASE WHEN lan.tplanc = 'recei' THEN lan.vllanc ELSE 0 END) AS vlrtot",,Esgn_Formata::valor,"epp, cha, ufp, gpr"
_proxpar,andam,Projetos em andamento,sin,andam,"SUM(CASE pro.flstatus WHEN 'andam' THEN 1 ELSE 0 END) AS andam",,,"epp, cha, ufp, gpr"
_proxpar,bloqu,Projetos bloqueados,sin,bloqu,"SUM(CASE pro.flstatus WHEN 'cadas' THEN 1 ELSE 0 END) AS bloqu",,,"epp, cha, ufp, gpr"
_proxpar,cadas,Projetos em cadastramento,sin,cadas,"SUM(CASE pro.flstatus WHEN 'cadas' THEN 1 ELSE 0 END) AS cadas",,,"epp, cha, ufp, gpr"
_proxpar,cance,Projetos cancelados,sin,cance,"SUM(CASE pro.flstatus WHEN 'cance' THEN 1 ELSE 0 END) AS cance",,,"epp, cha, ufp, gpr"
_proxpar,concl,Projetos concluídos,sin,concl,"SUM(CASE pro.flstatus WHEN 'concl' THEN 1 ELSE 0 END) AS concl",,,"epp, cha, ufp, gpr"
_proxpar,desco,Projetos descontinuados,sin,desco,"SUM(CASE pro.flstatus WHEN 'desco' THEN 1 ELSE 0 END) AS desco",,,"epp, cha, ufp, gpr"
_proxpar,inici,Projetos a iniciar,sin,inici,"SUM(CASE pro.flstatus WHEN 'inici' THEN 1 ELSE 0 END) AS inici",,,"epp, cha, ufp, gpr"
proxpar,cdd.iduf,Projeto - UF,amb,uf,,,,ufp
proxpar,cdd.nmcidade,Projeto - Cidade,amb,cidad,,,,"epp, cha, ufp, gpr"
proxpar,epp.nmchamada,Entidade Proponente - Chamada,amb,cham,,,,"epp, cha, ufp, gpr"
proxpar,epp.nmentidade,Entidade Proponente - Nome,amb,nmentprop,,utf8_decode,,"epp, cha, ufp, gpr"
proxpar,nuc.nmnucleo,Núcleo Setorial,ana,nucleo,,utf8_decode,,
proxpar,par.dtliberacaorec,Data da Liberação de Recursos,ana,dtlib,,,Esgn_Formata::data,
proxpar,par.dtrecebsolic,Data do Recebimento da Solicitação,ana,dtrec,,,Esgn_Formata::data,
proxpar,par.dtsolicinterna,Data da Solicitação Interna,ana,dtsol,,,Esgn_Formata::data,
proxpar,par.idparcela,Identificação da Parcela,ana,idpar,,,,
