id,idprojeto,descricao,cc1,cc2,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,status
137,2004,Costes de conferencias/seminarios,5700,Eventos,2020-06-18 09:02:58,gabriel.lima,2020-06-18 09:02:58,gabriel.lima,
138,2004,Organización de Conferencias y Seminários ,5710,Eventos,2020-06-18 09:02:58,gabriel.lima,2020-06-18 09:02:58,gabriel.lima,
139,2004,Catering,5720,Catering,2020-06-18 09:02:58,gabriel.lima,2020-06-18 09:02:58,gabriel.lima,
140,2004,Costes de consultorías/asistencias técnicas,5800,Serviços,2020-06-18 09:02:58,gabriel.lima,2020-06-18 09:02:58,gabriel.lima,
141,2004,Actividades de visibilidad,5900,Actividades de visibilidad,2020-06-18 09:02:58,gabriel.lima,2020-06-18 09:02:58,gabriel.lima,
142,2004,Catering,5720,Catering,2020-11-17 12:52:28,gabriel.lima,2020-11-17 12:52:28,gabriel.lima,
143,189,Gestão e monitoramento - despesas bancárias,62.130,Infraestrutura,2021-02-19 13:19:30,renato.rossi,2021-02-19 13:22:28,renato.rossi,S
145,189,Chamada de projetos - ajuste para conciliação com Prestecontas,65.999,Eventos,2021-05-13 07:18:46,renato.rossi,2021-05-13 08:32:38,renato.rossi,S
146,189,Desenvolvimento de projetos - ajuste para conciliação com Prestecontas,6818.9996,A definir,2021-05-13 08:34:21,renato.rossi,2021-05-21 07:36:24,renato.rossi,S
147,2028,Empreender nos Estados e Municípios - combustíveis,211010500000,Viagens,2022-01-27 14:24:35,lsoares,2022-02-16 17:31:03,renato.rossi,S
148,2028,Empreender nos Estados e Municípios - Consultoria,211010200000,Pessoal,2022-01-27 14:38:59,lsoares,,lsoares,S
149,2028,Empreender nos Estados e Municípios - outros meios de transporte,211010300000,Viagens,2022-01-27 14:40:51,lsoares,2022-02-02 09:09:15,lsoares,S
150,2028,Empreender nos Estados e Municípios - Local para eventos,211011700000,Eventos,2022-01-27 14:42:41,lsoares,,lsoares,S
151,2028,Empreender nos Estados e Municípios - Material de escritório,211010900000,Infraestrutura,2022-01-27 14:44:51,lsoares,2022-02-02 10:29:36,renato.rossi,S
152,2028,Empreender nos Estados e Municípios - Materiais de instrução,211011000000,Eventos,2022-01-27 14:48:24,lsoares,,lsoares,S
153,2028,Empreender nos Estados e Municípios - TIC,211011200000,Infraestrutura,2022-01-27 14:49:16,lsoares,,lsoares,S
154,2028,Revisão da metodologia - Consultoria,211020200000,Pessoal,2022-01-27 14:56:10,lsoares,,lsoares,S
155,2028,Revisão da metodologia - Estada,211020600000,Viagens,2022-01-27 14:58:10,lsoares,,lsoares,S
156,2028,Revisão da metodologia - Local para eventos,211021700000,Eventos,2022-01-27 14:59:20,lsoares,,lsoares,S
157,2028,Revisão da metodologia - Passagens aéreas,211020700000,Viagens,2022-01-27 15:01:27,lsoares,,lsoares,S
158,2028,Capacitação - Consultoria,211030200000,Pessoal,2022-01-27 15:03:55,lsoares,,lsoares,S
159,2028,Capacitação - Deslocamento terrestre,211030400000,Viagens,2022-01-27 15:04:48,lsoares,,lsoares,S
160,2028,Capacitação - Estada,211030600000,Viagens,2022-01-27 15:05:49,lsoares,,lsoares,S
161,2028,Capacitação - Local para eventos,211031700000,Eventos,2022-01-27 15:06:33,lsoares,,lsoares,S
162,2028,Capacitação - Materiais de instrução,211031000000,Eventos,2022-01-27 15:07:30,lsoares,,lsoares,S
163,2028,Capacitação - Passagens aéreas,211030700000,Viagens,2022-01-27 15:08:28,lsoares,,lsoares,S
164,2028,Capacitação - Serviços técnicos,211031300000,Serviços,2022-01-27 15:09:53,lsoares,,lsoares,S
165,2028,Capacitação - TIC,211031200000,Infraestrutura,2022-01-27 15:10:50,lsoares,,lsoares,S
166,2028,Intercâmbio e valorização - Consultoria,211040200000,Pessoal,2022-01-27 15:11:43,lsoares,,lsoares,S
167,2028,Intercâmbio e valorização - Deslocamento terrestre,211040400000,Viagens,2022-01-27 15:12:25,lsoares,,lsoares,S
168,2028,Intercâmbio e valorização - Estada,211040600000,Viagens,2022-01-27 15:13:15,lsoares,,lsoares,S
169,2028,Intercâmbio e valorização - Local para eventos,211041700000,Eventos,2022-01-27 15:14:14,lsoares,,lsoares,S
170,2028,Intercâmbio e valorização - Materiais de instrução,211041000000,Eventos,2022-01-27 15:15:05,lsoares,,lsoares,S
171,2028,Intercâmbio e valorização - Palestras,211040100000,Eventos,2022-01-27 15:16:18,lsoares,,lsoares,S
172,2028,Intercâmbio e valorização - Passagens aéreas,211040700000,Viagens,2022-01-27 15:17:27,lsoares,,lsoares,S
173,2028,Intercâmbio e valorização - Prêmios,211041500000,Eventos,2022-01-27 15:20:01,lsoares,,lsoares,S
174,2028,Intercâmbio e valorização - Serviços técnicos,211041300000,Serviços,2022-01-27 15:21:04,lsoares,,lsoares,S
175,2028,Apoio a demandas - Apoio a demandas das empresas,212013000000,Apoio a demandas,2022-01-27 15:22:16,lsoares,2022-02-02 14:35:11,renato.rossi,S
176,2028,Apoio a demandas - Consultoria,212010200000,Pessoal,2022-01-27 15:22:58,lsoares,,lsoares,S
177,2028,Apoio a demandas - Deslocamento terrestre,212010400000,Viagens,2022-01-27 15:31:14,lsoares,,lsoares,S
178,2028,Apoio a demandas - Estada,212010600000,Viagens,2022-01-27 15:32:14,lsoares,,lsoares,S
179,2028,Apoio a demandas - Passagens aéreas,212010700000,Viagens,2022-01-27 15:33:10,lsoares,,lsoares,S
180,2028,Sensibilização de dirigentes - Deslocamento terrestre,213010400000,Viagens,2022-01-27 15:33:51,lsoares,,lsoares,S
181,2028,Sensibilização de dirigentes - Estada,213010600000,Viagens,2022-01-27 15:34:54,lsoares,,lsoares,S
182,2028,Sensibilização de dirigentes - Local para eventos,213011700000,Eventos,2022-01-27 15:35:25,lsoares,,lsoares,S
183,2028,Sensibilização de dirigentes - Palestras,213010100000,Pessoal,2022-01-27 15:36:04,lsoares,,lsoares,S
184,2028,Sensibilização de dirigentes - Passagens aéreas,213010700000,Viagens,2022-01-27 15:36:52,lsoares,,lsoares,S
185,2028,Capacitação de executivos - Consultoria,213020200000,Pessoal,2022-01-27 15:37:24,lsoares,,lsoares,S
186,2028,Capacitação de executivos - Deslocamento terrestre,213020400000,Viagens,2022-01-27 15:38:23,lsoares,,lsoares,S
187,2028,Capacitação de executivos - Estada,213020600000,Viagens,2022-01-27 15:39:11,lsoares,,lsoares,S
188,2028,Capacitação de executivos - Local para eventos,213021700000,Eventos,2022-01-27 15:40:28,lsoares,,lsoares,S
189,2028,Capacitação de executivos - Materiais de instrução,213021000000,Eventos,2022-01-27 15:41:49,lsoares,,lsoares,S
190,2028,Capacitação de executivos - Passagens aéreas,213020700000,Viagens,2022-01-27 15:42:54,lsoares,,lsoares,S
191,2028,Planejamento estratégico - Combustível,213030500000,Viagens,2022-01-27 15:43:31,lsoares,,lsoares,S
192,2028,Planejamento estratégico - Consultoria,213030200000,Pessoal,2022-01-27 15:44:14,lsoares,,lsoares,S
193,2028,Planejamento estratégico - Estada,213030600000,Viagens,2022-01-27 15:44:58,lsoares,,lsoares,S
194,2028,Planejamento estratégico - Locação de veículos,213030300000,Viagens,2022-01-27 15:45:36,lsoares,,lsoares,S
195,2028,Planejamento estratégico - Local para eventos,213031700000,Eventos,2022-01-27 15:46:14,lsoares,,lsoares,S
196,2028,Planejamento estratégico - Materiais de instrução,213031000000,Eventos,2022-01-27 15:46:48,lsoares,,lsoares,S
197,2028,Planejamento estratégico - Passagens aéreas,213030700000,Viagens,2022-01-27 15:47:39,lsoares,,lsoares,S
198,2028,Gestão & Monitoramento - Consultoria,214010200000,Pessoal,2022-01-27 15:49:53,lsoares,,lsoares,S
199,2028,Gestão & Monitoramento - Estada,214010600000,Viagens,2022-01-27 15:50:27,lsoares,,lsoares,S
200,2028,Gestão & Monitoramento - Fretes e correio,214010800000,Serviços,2022-01-27 15:51:04,lsoares,2022-02-02 10:33:54,renato.rossi,S
201,2028,Gestão & Monitoramento - Instalações,214011100000,Infraestrutura,2022-01-27 15:51:43,lsoares,,lsoares,S
202,2028,Gestão & Monitoramento - Material de escritório,214010900000,Infraestrutura,2022-01-27 15:52:39,lsoares,2022-02-02 10:29:12,renato.rossi,S
203,2028,Gestão & Monitoramento - Passagens aéreas,214010700000,Viagens,2022-01-27 15:53:15,lsoares,,lsoares,S
204,2028,Gestão & Monitoramento - TIC,214011200000,Infraestrutura,2022-01-27 15:53:59,lsoares,,lsoares,S
205,2028,Mensuração - Consultoria,214020200000,Pessoal,2022-01-27 15:54:36,lsoares,,lsoares,S
206,2028,Comunicação - Consultoria,214030200000,Pessoal,2022-01-27 15:55:46,lsoares,,lsoares,S
207,2028,Comunicação - Serviços gráficos,214031400000,Serviços,2022-01-27 15:56:24,lsoares,,lsoares,S
208,2028,Comunicação - Serviços técnicos,214031300000,Serviços,2022-01-27 15:57:16,lsoares,,lsoares,S
209,2028,PDE - Consultoria,214040200000,Pessoal,2022-01-27 15:57:56,lsoares,,lsoares,S
210,2028,PDE - TIC,214041200000,Infraestrutura,2022-01-27 15:58:52,lsoares,,lsoares,S
212,2028,Gastos com tarifas bancárias,A definir,CC2 a definir,2022-05-18 13:23:38,renato.rossi,,renato.rossi,S
213,2029,Gestão e monitoramento - Consultoria,1,Pessoal,2022-07-14 16:23:15,lsoares,,lsoares,S
214,2029,Gestão e monitoramento - Instalações,2,Infraestrutura,2022-07-14 16:24:04,lsoares,,lsoares,S
215,2029,Mensuração - Consultoria,3,Pessoal,2022-07-14 16:24:41,lsoares,,lsoares,S
216,2029,Estudos e pesquisas - Consultoria,4,Pessoal,2022-07-14 16:25:28,lsoares,,lsoares,S
217,2029,Estudos e pesquisas - Serviços,5,Serviços,2022-07-14 16:26:28,lsoares,,lsoares,S
218,2029,Governança e sensibilização - Consultoria,6,Pessoal,2022-07-14 16:27:05,lsoares,,lsoares,S
219,2029,Governança e sensibilização - Diárias,7,Viagens,2022-07-14 16:27:53,lsoares,,lsoares,S
220,2029,Governança e sensibilização - Instalações,8,Eventos,2022-07-14 16:28:32,lsoares,,lsoares,S
221,2029,Governança e sensibilização - Materiais de instrução,9,Eventos,2022-07-14 16:29:06,lsoares,,lsoares,S
222,2029,Governança e sensibilização - Passagens aéreas,10,Viagens,2022-07-14 16:30:13,lsoares,,lsoares,S
223,2029,Governança e sensibilização - Serviços,11,Serviços,2022-07-14 16:30:48,lsoares,,lsoares,S
224,2029,Governança e sensibilização - TIC,12,Infraestrutura,2022-07-14 16:31:22,lsoares,,lsoares,S
225,2029,Atuação em rede - Consultoria,13,Pessoal,2022-07-14 16:32:00,lsoares,,lsoares,S
226,2029,Atuação em rede - Diárias,14,Viagens,2022-07-14 16:33:16,lsoares,,lsoares,S
227,2029,Atuação em rede - Instalações,15,Eventos,2022-07-14 16:34:06,lsoares,,lsoares,S
228,2029,Atuação em rede - Materiais de instrução,16,Eventos,2022-07-14 16:35:06,lsoares,,lsoares,S
229,2029,Atuação em rede - Passagens aéreas,17,Viagens,2022-07-14 16:36:12,lsoares,,lsoares,S
230,2029,Atuação em rede - Serviços,18,Serviços,2022-07-14 16:36:46,lsoares,,lsoares,S
231,2029,Desenvolvimento de competências - Consultoria,19,Pessoal,2022-07-14 16:37:54,lsoares,,lsoares,S
232,2029,Desenvolvimento de competências - Diárias,20,Viagens,2022-07-14 16:39:29,lsoares,,lsoares,S
233,2029,Desenvolvimento de competências - Instalações,21,Eventos,2022-07-14 16:42:53,lsoares,,lsoares,S
234,2029,Desenvolvimento de competências - Materiais de instrução,22,Eventos,2022-07-14 16:44:12,lsoares,,lsoares,S
235,2029,Desenvolvimento de competências - Passagens aéreas,23,Viagens,2022-07-14 16:44:56,lsoares,,lsoares,S
236,2029,Desenvolvimento de competências - Serviços,24,Serviços,2022-07-14 16:45:57,lsoares,,lsoares,S
237,2029,Desenvolvimento de competências - Transporte local,25,Viagens,2022-07-14 16:46:42,lsoares,,lsoares,S
238,2029,Mercado - Consultoria,26,Pessoal,2022-07-14 16:47:19,lsoares,,lsoares,S
239,2029,Mercado - Diárias,27,Viagens,2022-07-14 16:47:50,lsoares,,lsoares,S
240,2029,Mercado - Instalações,28,Eventos,2022-07-14 16:48:41,lsoares,,lsoares,S
241,2029,Mercado - Materiais de instrução,29,Eventos,2022-07-14 16:49:19,lsoares,,lsoares,S
242,2029,Mercado - Passagens aéreas,30,Viagens,2022-07-14 16:49:52,lsoares,,lsoares,S
243,2029,Mercado - Serviços,31,Serviços,2022-07-14 16:50:26,lsoares,,lsoares,S
244,2029,Despesas bancárias - não previstas nas proposta aprovada,A definir,A definir,2022-10-24 11:01:56,renato.rossi,,renato.rossi,S
245,2028,Materiais Metaplan,211011100000,Infraestrutura,2022-12-05 16:01:52,renato.rossi,,renato.rossi,S
246,2029,Fomento - Infraestrutura,32,Infraestrutura,2023-01-24 10:44:48,renato.rossi,,renato.rossi,S
247,2029,Fomento - viagens - passagens aéreas,33,Viagens,2023-01-24 10:48:53,renato.rossi,,renato.rossi,S
248,2029,Fomento - viagens - estada,34,Viagens,2023-01-24 10:49:40,renato.rossi,,renato.rossi,S
249,2029,Fomento - Consultoria,35,Pessoal,2023-01-24 10:54:51,renato.rossi,,renato.rossi,S
998,189,Desenvolvimento de projetos - Projeto a identificar,6818.9999,A definir,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
999,189,A definir,9999.9999,A definir,2019-04-15 08:40:50,gabriel.lima,2019-04-15 08:40:50,gabriel.lima,
