id,idempresa,origem
107758,55786,CEF
107759,55820,CEF
107760,33436,CEF
107761,55789,CEF
107762,55823,CEF
107763,55825,CEF
107764,55793,CEF
107765,55826,CEF
107766,55830,CEF
107767,55796,CEF
107768,55828,CEF
107769,55834,CEF
107770,55798,CEF
107771,55831,CEF
107772,55836,CEF
107773,55798,CEF
107774,55833,CEF
107775,55836,CEF
107776,55802,CEF
107777,55837,CEF
107778,55840,CEF
107779,55804,CEF
107780,55841,CEF
107781,55843,CEF
107782,55806,CEF
107783,55846,CEF
107784,55856,CEF
107785,55807,CEF
107786,55848,CEF
107787,55858,CEF
107788,55809,CEF
107789,55850,CEF
107790,55862,CEF
107791,55813,CEF
107792,55852,CEF
107793,55865,CEF
107794,55816,CEF
107795,55855,CEF
107796,55867,CEF
107797,55817,CEF
107798,55859,CEF
107799,55874,CEF
107800,55817,CEF
107801,55861,CEF
107802,55878,CEF
107803,55822,CEF
107804,55864,CEF
107805,55881,CEF
107806,55824,CEF
107807,55868,CEF
107808,55883,CEF
107809,55827,CEF
107810,55870,CEF
107811,55885,CEF
107812,55829,CEF
107813,55872,CEF
107814,55888,CEF
107815,55832,CEF
107816,33856,CEF
107817,55892,CEF
107818,55835,CEF
107819,55875,CEF
107820,55894,CEF
107821,55838,CEF
107822,55877,CEF
107823,55896,CEF
107824,55839,CEF
107825,55879,CEF
107826,55898,CEF
107827,55842,CEF
107828,55882,CEF
107829,15254,CEF
107830,55844,CEF
107831,55886,CEF
107832,55904,CEF
107833,55845,CEF
107834,55891,CEF
107835,55906,CEF
107836,55847,CEF
107837,55893,CEF
107838,55907,CEF
107839,55849,CEF
107840,55895,CEF
107841,55911,CEF
107842,55851,CEF
107843,55895,CEF
107844,55912,CEF
107845,55853,CEF
107846,55899,CEF
107847,55915,CEF
107848,55854,CEF
107849,55902,CEF
107850,55917,CEF
107851,55857,CEF
107852,55910,CEF
107853,55920,CEF
107854,55860,CEF
107855,55913,CEF
107856,22367,CEF
107857,55863,CEF
107858,55916,CEF
107859,55923,CEF
107860,55866,CEF
107861,55919,CEF
107862,55926,CEF
107863,55869,CEF
107864,55922,CEF
107865,55929,CEF
107866,55871,CEF
107867,55924,CEF
107868,55934,CEF
107869,55873,CEF
107870,55927,CEF
107871,55935,CEF
107872,55876,CEF
107873,55930,CEF
107874,55939,CEF
107875,55880,CEF
107876,55933,CEF
107877,55942,CEF
107878,55884,CEF
107879,55936,CEF
107880,55945,CEF
107881,55887,CEF
107882,55940,CEF
107883,55950,CEF
107884,55889,CEF
107885,55946,CEF
107886,55955,CEF
107887,55889,CEF
107888,55949,CEF
107889,55957,CEF
107890,55890,CEF
107891,55952,CEF
107892,34749,CEF
107893,55897,CEF
107894,55954,CEF
107895,55960,CEF
107896,55900,CEF
107897,41024,CEF
107898,55962,CEF
107899,55901,CEF
107900,55959,CEF
107901,55966,CEF
107902,55901,CEF
107903,55963,CEF
107904,55970,CEF
107905,55903,CEF
107906,55965,CEF
107907,32468,CEF
107908,55905,CEF
107909,55967,CEF
107910,55976,CEF
107911,55908,CEF
107912,55972,CEF
107913,55981,CEF
107914,55909,CEF
107915,55974,CEF
107916,55984,CEF
107917,55914,CEF
107918,55977,CEF
107919,55987,CEF
107920,55918,CEF
107921,55978,CEF
107922,55990,CEF
107923,55921,CEF
107924,55982,CEF
107925,55993,CEF
107926,55925,CEF
107927,55986,CEF
107928,55996,CEF
107929,55928,CEF
107930,55989,CEF
107931,55999,CEF
107932,55931,CEF
107933,55992,CEF
107934,56002,CEF
107935,55932,CEF
107936,55994,CEF
107937,56003,CEF
107938,55937,CEF
107939,55997,CEF
107940,56007,CEF
107941,55938,CEF
107942,56000,CEF
107943,56011,CEF
107944,55941,CEF
107945,56005,CEF
107946,56015,CEF
107947,55943,CEF
107948,56008,CEF
107949,56022,CEF
107950,55944,CEF
107951,56010,CEF
107952,56026,CEF
107953,55947,CEF
107954,56013,CEF
107955,56031,CEF
107956,55948,CEF
107957,56016,CEF
107958,56033,CEF
107959,55951,CEF
107960,56018,CEF
107961,56036,CEF
107962,55953,CEF
107963,56020,CEF
107964,56039,CEF
107965,55956,CEF
107966,56023,CEF
107967,56043,CEF
107968,55958,CEF
107969,56028,CEF
107970,56044,CEF
107971,55961,CEF
107972,56030,CEF
107973,56046,CEF
107974,55964,CEF
107975,56035,CEF
107976,56049,CEF
107977,55964,CEF
107978,56038,CEF
107979,56051,CEF
107980,55968,CEF
107981,56042,CEF
107982,56054,CEF
107983,55969,CEF
107984,56048,CEF
107985,56057,CEF
107986,55971,CEF
107987,56052,CEF
107988,56060,CEF
107989,55973,CEF
107990,56055,CEF
107991,56063,CEF
107992,55975,CEF
107993,56061,CEF
107994,56064,CEF
107995,55979,CEF
107996,56066,CEF
107997,56069,CEF
107998,55980,CEF
107999,56071,CEF
108000,56068,CEF
108001,55983,CEF
108002,56075,CEF
108003,56072,CEF
108004,55985,CEF
108005,56077,CEF
108006,56074,CEF
108007,55988,CEF
108008,56080,CEF
108009,56078,CEF
108010,55991,CEF
108011,56083,CEF
108012,56082,CEF
108013,55995,CEF
108014,56086,CEF
108015,56085,CEF
108016,55998,CEF
108017,56089,CEF
108018,56087,CEF
108019,55998,CEF
108020,56092,CEF
108021,56091,CEF
108022,56001,CEF
108023,56095,CEF
108024,21755,CEF
108025,56004,CEF
108026,56098,CEF
108027,56094,CEF
108028,56004,CEF
108029,56100,CEF
108030,56097,CEF
108031,56006,CEF
108032,56104,CEF
108033,56101,CEF
108034,56009,CEF
108035,56105,CEF
108036,56107,CEF
108037,56012,CEF
108038,56108,CEF
108039,56115,CEF
108040,56014,CEF
108041,56110,CEF
108042,56122,CEF
108043,56017,CEF
108044,56111,CEF
108045,56127,CEF
108046,56019,CEF
108047,56113,CEF
108048,56129,CEF
108049,56021,CEF
108050,56116,CEF
108051,56132,CEF
108052,56024,CEF
108053,56118,CEF
108054,56136,CEF
108055,56025,CEF
108056,56120,CEF
108057,56139,CEF
108058,56027,CEF
108059,56123,CEF
108060,56142,CEF
108061,56029,CEF
108062,56123,CEF
108063,56145,CEF
108064,56032,CEF
108065,56123,CEF
108066,56148,CEF
108067,56034,CEF
108068,56126,CEF
108069,56151,CEF
108070,56034,CEF
108071,56128,CEF
108072,56154,CEF
108073,56037,CEF
108074,56131,CEF
108075,56161,CEF
108076,56040,CEF
108077,56133,CEF
108078,56163,CEF
108079,56041,CEF
108080,56135,CEF
108081,56163,CEF
108082,56041,CEF
108083,56140,CEF
108084,56166,CEF
108085,56045,CEF
108086,56140,CEF
108087,56047,CEF
108088,56169,CEF
108089,56144,CEF
108090,56050,CEF
108091,56172,CEF
108092,34786,CEF
108093,56053,CEF
108094,56174,CEF
108095,56147,CEF
108096,56056,CEF
108097,56177,CEF
108098,56150,CEF
108099,56058,CEF
108100,56181,CEF
108101,56153,CEF
108102,56059,CEF
108103,56185,CEF
108104,56155,CEF
108105,56062,CEF
108106,56187,CEF
108107,56157,CEF
108108,56065,CEF
108109,56190,CEF
108110,56159,CEF
108111,56065,CEF
108112,56192,CEF
108113,56160,CEF
108114,56067,CEF
108115,56196,CEF
108116,56164,CEF
108117,56070,CEF
108118,56199,CEF
108119,56167,CEF
108120,56070,CEF
108121,56204,CEF
108122,56171,CEF
108123,56073,CEF
108124,56207,CEF
108125,56175,CEF
108126,56076,CEF
108127,56209,CEF
108128,56179,CEF
108129,56079,CEF
108130,56213,CEF
108131,56182,CEF
108132,56081,CEF
108133,56216,CEF
108134,56184,CEF
108135,56084,CEF
108136,56219,CEF
108137,56186,CEF
108138,56088,CEF
108139,56222,CEF
108140,41604,CEF
108141,56090,CEF
108142,56225,CEF
108143,56189,CEF
108144,56093,CEF
108145,56229,CEF
108146,56195,CEF
108147,56093,CEF
108148,56232,CEF
108149,56197,CEF
108150,56096,CEF
108151,56238,CEF
108152,56200,CEF
108153,56099,CEF
108154,56241,CEF
108155,56202,CEF
108156,56102,CEF
108157,56244,CEF
108158,56205,CEF
108159,56103,CEF
108160,56246,CEF
108161,56208,CEF
108162,56106,CEF
108163,56249,CEF
108164,56211,CEF
108165,56109,CEF
108166,56251,CEF
108167,56214,CEF
108168,56112,CEF
108169,56257,CEF
108170,56217,CEF
108171,56114,CEF
108172,56260,CEF
108173,56220,CEF
108174,56117,CEF
108175,56226,CEF
108176,56264,CEF
108177,56119,CEF
108178,56228,CEF
108179,56266,CEF
108180,56121,CEF
108181,56230,CEF
108182,56269,CEF
108183,56124,CEF
108184,56233,CEF
108185,56272,CEF
108186,56125,CEF
108187,56235,CEF
108188,56274,CEF
108189,56130,CEF
108190,56237,CEF
108191,56282,CEF
108192,56130,CEF
108193,56242,CEF
108194,56285,CEF
108195,56134,CEF
108196,56245,CEF
108197,56287,CEF
108198,56137,CEF
108199,56248,CEF
108200,56288,CEF
108201,56138,CEF
108202,56253,CEF
108203,56291,CEF
108204,56141,CEF
108205,56255,CEF
108206,56294,CEF
108207,56143,CEF
108208,56256,CEF
108209,56298,CEF
108210,56146,CEF
108211,54233,CEF
108212,56301,CEF
108213,56149,CEF
108214,56259,CEF
108215,56305,CEF
108216,56152,CEF
108217,56263,CEF
108218,56307,CEF
108219,56156,CEF
108220,56267,CEF
108221,56309,CEF
108222,56158,CEF
108223,56270,CEF
108224,56311,CEF
108225,56158,CEF
108226,56273,CEF
108227,56317,CEF
108228,56162,CEF
108229,56276,CEF
108230,56321,CEF
108231,56165,CEF
108232,56278,CEF
108233,56324,CEF
108234,56168,CEF
108235,56280,CEF
108236,56326,CEF
108237,56170,CEF
108238,56284,CEF
108239,56330,CEF
108240,56173,CEF
108241,56290,CEF
108242,56333,CEF
108243,56176,CEF
108244,56293,CEF
108245,56336,CEF
108246,56176,CEF
108247,56296,CEF
108248,56340,CEF
108249,56178,CEF
108250,56300,CEF
108251,56343,CEF
108252,56180,CEF
108253,56302,CEF
108254,56347,CEF
108255,56183,CEF
108256,56304,CEF
108257,56349,CEF
108258,56188,CEF
108259,56308,CEF
108260,56349,CEF
108261,56191,CEF
108262,56313,CEF
108263,56353,CEF
108264,56193,CEF
108265,56315,CEF
108266,56357,CEF
108267,56193,CEF
108268,56316,CEF
108269,56358,CEF
108270,56194,CEF
108271,56319,CEF
108272,56361,CEF
108273,56198,CEF
108274,56323,CEF
108275,56364,CEF
108276,56198,CEF
108277,56325,CEF
108278,56376,CEF
108279,56201,CEF
108280,56328,CEF
108281,56380,CEF
108282,56203,CEF
108283,56331,CEF
108284,56383,CEF
108285,56206,CEF
108286,35860,CEF
108287,56383,CEF
108288,56210,CEF
108289,56335,CEF
108290,56385,CEF
108291,56212,CEF
108292,25884,CEF
108293,56390,CEF
108294,56215,CEF
108295,56338,CEF
108296,56392,CEF
108297,56218,CEF
108298,56341,CEF
108299,56397,CEF
108300,56221,CEF
108301,56344,CEF
108302,56400,CEF
108303,56223,CEF
108304,56346,CEF
108305,56402,CEF
108306,56224,CEF
108307,56348,CEF
108308,56406,CEF
108309,56227,CEF
108310,56351,CEF
108311,56409,CEF
108312,56227,CEF
108313,56355,CEF
108314,56412,CEF
108315,56231,CEF
108316,56360,CEF
108317,56415,CEF
108318,56234,CEF
108319,56363,CEF
108320,56417,CEF
108321,56236,CEF
108322,56366,CEF
108323,56420,CEF
108324,56239,CEF
108325,56367,CEF
108326,56423,CEF
108327,56240,CEF
108328,56369,CEF
108329,56425,CEF
108330,56243,CEF
108331,56372,CEF
108332,56428,CEF
108333,56247,CEF
108334,56374,CEF
108335,56431,CEF
108336,56250,CEF
108337,56375,CEF
108338,56433,CEF
108339,56252,CEF
108340,56378,CEF
108341,56436,CEF
108342,56254,CEF
108343,56381,CEF
108344,56258,CEF
108345,56454,CEF
108346,31901,CEF
108347,56261,CEF
108348,34667,CEF
108349,30935,CEF
108350,56262,CEF
108351,56460,CEF
108352,56386,CEF
