idrelatorio,idtemplrel,nmrelatorio,tpgestor,argroup,arfield,arorder,arwhere,dsrelatorio,arwherelista,tpagrup,dtcriado,dtultimaalteracao
31,proxlan,Despesas e receitas 2016/06,cacb,,"a:9:{s:13:""epp.nmchamada"";N;s:14:""lan.tpfonterec"";N;s:16:""lan.stlancamento"";N;s:12:""cdd.nmcidade"";N;s:10:""lan.tplanc"";N;s:15:""lan.dtpagamento"";N;s:15:""lan.dtdocumento"";N;s:10:""lan.vllanc"";N;s:12:""lan.nmcredor"";N;}","a:2:{s:4:""cham"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,Tentativa,"a:1:{i:0;s:4:""cham"";}",,2016-07-06,2016-07-06
32,nucxemp,2016 - Empresas nucleadas,cacb,,"a:10:{s:15:""cidass.nmcidade"";N;s:8:""acerazao"";s:23:""ass.nmrazao AS acerazao"";s:12:""nuc.nmnucleo"";N;s:14:""seg.dssegmento"";N;s:17:""emp.nurazaosocial"";N;s:14:""emp.nmfantasia"";N;s:13:""emp.nucnpjcpf"";N;s:10:""emp.nufone"";N;s:13:""con.nmcontato"";N;s:11:""emp.dsemail"";N;}","a:1:{s:10:""nucfantasi"";s:3:""asc"";}",,Este relatório apresenta a relação de empresas nucleadas,"a:2:{i:0;s:6:""cidace"";i:1;s:6:""nucleo"";}",,2016-07-08,2016-07-11
33,nucxemp,NS Mulher Empresária,cacb,,"a:16:{s:11:""cidass.iduf"";N;s:15:""cidass.nmcidade"";N;s:11:""emp.flativo"";N;s:11:""str.dssetor"";N;s:20:""emp.cdformalinformal"";N;s:16:""emp.flfiliadoace"";N;s:14:""ram.nmramoativ"";N;s:17:""emp.nurazaosocial"";N;s:14:""emp.nmfantasia"";N;s:13:""con.nmcontato"";N;s:10:""emp.nufone"";N;s:11:""emp.dsemail"";N;s:13:""emp.nucnpjcpf"";N;s:12:""nuc.nmnucleo"";N;s:14:""seg.dssegmento"";N;s:10:""flativonuc"";s:25:""nuc.flativo AS flativonuc"";}","a:3:{s:6:""cidace"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";s:6:""status"";s:3:""asc"";}",,Análise de setor/ramo de atividade das empresárias participantes dos NS Mulher Empresária,"a:3:{i:0;s:5:""flace"";i:1;s:6:""nucleo"";i:2;s:7:""statusn"";}",,2016-08-01,2020-07-30
34,nucxemp,Relatório Empresas associadas,fedr,,"a:5:{s:15:""cidass.nmcidade"";N;s:11:""cidass.iduf"";N;s:16:""emp.flfiliadoace"";N;s:11:""emp.flativo"";N;s:12:""nuc.nmnucleo"";N;}","a:3:{s:5:""uface"";s:3:""asc"";s:6:""cidace"";s:3:""asc"";s:6:""nucleo"";s:3:""asc"";}",,,"a:1:{i:0;s:5:""flace"";}",,2016-08-09,
35,fedxass,Contatos Federações e ACEs,cacb,,"a:5:{s:11:""ass.dsemail"";N;s:11:""emailgestor"";s:24:""usu.dsemail AS emailgest"";s:8:""cid.iduf"";N;s:11:""fed.nmrazao"";N;s:10:""acenmrazao"";s:23:""ass.nmrazao AS acerazao"";}","a:2:{s:2:""uf"";s:3:""asc"";s:8:""razaofed"";s:3:""asc"";}",,,,,2016-08-09,
36,proxlan,Relatório de despesas,cacb,,"a:7:{s:13:""epp.nmchamada"";N;s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:14:""lan.tpfonterec"";N;s:12:""lan.flecofin"";N;s:15:""lan.dtaprovacao"";N;s:10:""lan.vllanc"";N;}","a:3:{s:4:""cham"";s:3:""asc"";s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,Despesas Empreender Convencional,"a:1:{i:0;s:4:""cham"";}",,2016-09-22,2016-09-22
37,proxlan,Relatório Lanc Aprovados,cacb,,"a:13:{s:13:""epp.nmchamada"";N;s:14:""epp.nmentidade"";N;s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:13:""pro.nmprojeto"";N;s:12:""nuc.nmnucleo"";N;s:10:""lan.idlanc"";N;s:10:""lan.tplanc"";N;s:12:""lan.flecofin"";N;s:14:""lan.tpfonterec"";N;s:16:""lan.stlancamento"";N;s:14:""lan.flnatureza"";N;s:10:""lan.dtlanc"";N;}","a:3:{s:4:""cham"";s:3:""asc"";s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,Controle de lançamentos aprovados,"a:2:{i:0;s:4:""cham"";i:1;s:9:""nmentprop"";}",,2016-09-30,2019-04-02
38,proxlan,DespesaxReceita,cacb,,"a:9:{s:13:""epp.nmchamada"";N;s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:14:""lan.tpfonterec"";N;s:10:""lan.tplanc"";N;s:12:""lan.flecofin"";N;s:16:""lan.stlancamento"";N;s:10:""lan.vllanc"";N;}","a:3:{s:4:""cham"";s:3:""asc"";s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";}",,Despesas x Receita,"a:2:{i:0;s:4:""cham"";i:1;s:2:""uf"";}",,2016-10-03,2016-10-03
39,proxlan,Relatório lançamentos,cacb,,"a:10:{s:13:""epp.nmchamada"";N;s:14:""epp.nmentidade"";N;s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:13:""pro.nmprojeto"";N;s:12:""pro.flstatus"";N;s:12:""nuc.nmnucleo"";N;s:10:""lan.idlanc"";N;s:10:""lan.dtlanc"";N;s:15:""lan.dtaprovacao"";N;}","a:3:{s:4:""cham"";s:3:""asc"";s:9:""nmentprop"";s:3:""asc"";s:2:""uf"";s:3:""asc"";}",,Relatório para verificação,"a:1:{i:0;s:4:""cham"";}",,2017-08-03,
40,proxlan,Resumo - Chamada Projetos,cacb,,"a:16:{s:13:""epp.nmchamada"";N;s:14:""epp.nmentidade"";N;s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:13:""pro.nmprojeto"";N;s:12:""pro.flstatus"";N;s:12:""nuc.nmnucleo"";N;s:16:""lan.stlancamento"";N;s:14:""lan.tpfonterec"";N;s:14:""lan.flnatureza"";N;s:12:""lan.flecofin"";N;s:11:""lan.idgrupo"";N;s:10:""lan.dsdesp"";N;s:10:""lan.tplanc"";N;s:10:""lan.idlanc"";N;s:10:""lan.vllanc"";N;}","a:3:{s:4:""cham"";s:3:""asc"";s:9:""nmentprop"";s:3:""asc"";s:2:""uf"";s:3:""asc"";}",,Despesas realizadas por fonte de recursos,"a:3:{i:0;s:4:""cham"";i:1;s:9:""nmentprop"";i:2;s:2:""uf"";}",,2017-08-25,2017-08-25
41,nucxemp,Relatório Empresas NS,cacb,,"a:10:{s:11:""fed.nmrazao"";N;s:11:""cidass.iduf"";N;s:15:""cidass.nmcidade"";N;s:14:""seg.dssegmento"";N;s:12:""nuc.nmnucleo"";N;s:10:""flativonuc"";s:25:""nuc.flativo AS flativonuc"";s:20:""emp.cdformalinformal"";N;s:14:""emp.nmfantasia"";N;s:13:""con.nmcontato"";N;s:11:""emp.dsemail"";N;}","a:2:{s:5:""uface"";s:3:""asc"";s:5:""dsseg"";s:3:""asc"";}",,Mailing Empresários Convencional,"a:2:{i:0;s:8:""razaofed"";i:1;s:5:""uface"";}",,2017-08-29,2017-08-29
42,proxlan,Relatório lançamentos,cacb,,"a:8:{s:13:""epp.nmchamada"";N;s:8:""cdd.iduf"";N;s:13:""pro.nmprojeto"";N;s:14:""lan.tpfonterec"";N;s:10:""lan.idlanc"";N;s:10:""lan.tplanc"";N;s:12:""lan.flecofin"";N;s:10:""lan.dtlanc"";N;}","a:2:{s:4:""cham"";s:3:""asc"";s:2:""uf"";s:3:""asc"";}",,Quantidade de meses em que houve registros de lançamentos - Prêmio Empreender.,"a:2:{i:0;s:4:""cham"";i:1;s:2:""uf"";}",,2017-09-22,2017-09-22
43,proxlan,Empreender Competitivo,proj,,"a:6:{s:8:""cdd.iduf"";N;s:12:""cdd.nmcidade"";N;s:13:""pro.nmprojeto"";N;s:15:""lan.dtdocumento"";N;s:10:""lan.dsdesp"";N;s:10:""lan.vllanc"";N;}","a:3:{s:2:""uf"";s:3:""asc"";s:5:""cidad"";s:3:""asc"";s:4:""proj"";s:3:""asc"";}",,Modelo de despesas do Empreender Competitivo,"a:1:{i:0;s:4:""proj"";}",,2017-09-25,
44,assxnuc,Prêmio empreender data NS,cacb,,"a:7:{s:11:""fed.nmrazao"";N;s:8:""cid.iduf"";N;s:12:""cid.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:11:""nuc.flativo"";N;s:14:""seg.dssegmento"";N;s:13:""nuc.dtcriacao"";N;}","a:3:{s:5:""cidad"";s:3:""asc"";s:6:""flativ"";s:4:""desc"";s:5:""dsseg"";s:3:""asc"";}",,Numero de reuniões dos núcleos setoriais para o premio empreender,"a:1:{i:0;s:8:""razaofed"";}",,2017-09-25,2017-09-25
45,nucxemp,Relatórios Empresas 2017,cacb,,"a:9:{s:11:""cidass.iduf"";N;s:15:""cidass.nmcidade"";N;s:12:""nuc.nmnucleo"";N;s:10:""flativonuc"";s:25:""nuc.flativo AS flativonuc"";s:14:""seg.dssegmento"";N;s:13:""emp.nucnpjcpf"";N;s:11:""emp.flativo"";N;s:17:""emp.nurazaosocial"";N;s:14:""emp.nmfantasia"";N;}","a:3:{s:5:""uface"";s:3:""asc"";s:6:""cidace"";s:3:""asc"";s:5:""dsseg"";s:3:""asc"";}",,Relatório com todas as empresas do portal.,"a:2:{i:0;s:5:""uface"";i:1;s:6:""cidace"";}",,2017-09-29,2017-10-02
