idrecurso,nmrecurso,descricao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,grupo,nome
59,lan_exclu,"Exclui lançamento. Só é possivel quando status do lançamento for ""nov - Novo"" ou ""pen - Pendente""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Exclusão de lançamento
60,lan_expor,Permite exportar lista de lançamentos do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Exportação de lista de lançamentos
61,lan_parce,Permite associar parcela ao lançamento,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Associar parcela de lançamento
62,lan_pende,"Colocar um lançamento para status ""Pendente"", recusando lançamento.",2020-03-23 12:52:35,,2023-01-25 07:15:10,gabriel.lima,Lançamentos,Alteração de status de lançamento - Pen
63,lan_pendm,"Colocar em massa lançamentos para status ""pen - Pendente"". Recusando estes. Só é possivel quando status dos lançamentos forem ""ana - Em análise""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Alteração de status de lançamento - massa
64,lan_pgto,"Permite alterar o lançamento para ""Liberado"", portanto passível de pagamento o que é feito na funcionalidade T&P",2020-03-23 12:52:35,,2023-03-08 08:35:43,renato.rossi,Lançamentos,Liberação de lançamento
65,lan_retum,"Colocar em massa lançamentos para status ""ana - Em análise"". Retornando do status ""apr - Aprovado"". Só é possivel quando status dos lançamentos forem ""apr - Aprovado""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Alteração de status de lançamento - massa
66,lan_retur,"Retornar o status de um lançamento aprovado para o status ""ana - Em análise""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Lançamentos,Mudança de status - aprovado para Em análise
67,mt_adici,Permite adicionar Metas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Metas,Adição de meta
68,mt_edita,Permite editar as Metas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Metas,Edição de metas
69,mt_exclu,Permite excluir Metas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Metas,Exclusão de meta
70,mt_expor,Permite exportar lista das Metas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Ações,Exportação de lista de metas
71,mt_listar,Apresenta as metas de um projeto,2020-03-23 12:52:35,,2020-09-01 13:41:47,renato.rossi,Metas,Listar metas de um projeto
72,nuc_adici,Permite adicionar núcleos,2020-03-23 12:52:35,,2022-11-17 08:53:31,renato.rossi,Núcleos,Adição de Núcleo
73,nuc_consu,Permite consultar lista/detalhe dos núcleos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Núcleos,Consulta lista e detalhes de Núcleos
74,nuc_defge,Permite definir o gestor dos núcleos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Núcleos,Definição de gestor de núcleo
75,nuc_edita,"Permite editar núcleos. Também inclui ""pedir atualização""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Núcleos,Edição de núcleo
76,nuc_expor,Permite exportar lista de núcleos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Núcleos,Exportação de lista de núcleos
77,par_adici,Permite adicionar parcelas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Parcelas,Adição de parcela
78,par_consu,Permite consultar lista/detalhe das parcelas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Parcelas,Consulta lista e detalhes de parcela
79,par_edita,Permite editar parcelas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Parcelas,Edição de parcela
80,par_exclu,Permite excluir parcelas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Parcelas,Exclusão de parcela
81,pla_adici,Permite adicionar planos de ação / sub-atividades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Planos de ação,Adição de plano de ação e atividades
82,pla_consu,Permite consultar lista/detalhe dos planos de ação / sub-atividades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Planos de ação,Consulta lista e detalhes de planos de ação
83,pla_edita,Permite editar planos de ação / sub-atividades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Planos de ação,Edição de plano de ação e atividades
84,pla_exclu,Permite excluir planos de ação / sub-atividades,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Planos de ação,Exclusão de plano de ação e atividades
85,pla_expor,Permite exportar a lista de planos de ação,2020-03-23 12:52:35,,2020-11-04 18:16:48,renato.rossi,Núcleos,Exportar lista de planos de ação
86,pro_adici,Permite adicionar projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Adição de projeto
87,pro_bloqu,"Colocar status do projeto para ""bloqu - Bloqueado""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Bloqueio de projeto
88,pro_concl,"Colocar status do projeto para ""concl - Concluído""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Bloqueio de projeto
89,pro_consu,Permite consultar lista/detalhe dos projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Consulta lista e detalhes de projetos
90,pro_defge,Permite definir o gestor dos projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Definição de gestor de projeto
91,pro_edita,Permite editar projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Edição de projeto
92,pro_exclu,"Permite excluir projeto. Só é possível quando status do projeto for ""andam - Em cadastramento""",2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Exclusão de projeto
93,pro_expor,Permite exportar lista de projetos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Exportação de lista de projetos
94,pro_sumar,Permite consultar resumo do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Consulta do resumo do projeto
95,pro_vstep,Permite ver menu com os passos para o gestor acompanhar o projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Visão de menu para acompanhamento de projeto
96,rec_info,Permite visualizar o quadro auxiliar com informações financeiras do projeto,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Projetos,Visualização do quadro auxiliar de informações financeiras de projeto
97,rel_adici,Permite adicionar os relatórios gerados,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Adição de relatório
98,rel_consu,Permite consultar os relatórios gerados,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Consulta dos relatórios gerados
99,rel_edita,Permite editar os relatórios gerados,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Edição de relatório
100,rel_empre,Permite consultar os relatórios do Empreender,2020-03-23 12:52:35,,2021-02-19 06:47:57,renato.rossi,Relátorios,Consulta dos relatórios do Empreender
101,rel_exclu,Permite excluir os relatórios gerados,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Exclusão de relatório
102,rel_prest,Permite consultar os relatórios do Prestcontas,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Relátorios,Consultar os relatórios do Prestcontas
103,reu_adici,Permite adicionar reuniões,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Reuniões,Adição de reunião
104,reu_consu,Permite consultar lista/detalhe das reuniões,2020-03-23 12:52:35,,2020-03-23 12:52:35,,Reuniões,Consulta lista e detalhes de reuniões
105,reu_edita,Permite editar reuniões,2020-03-23 12:52:35,,2021-07-16 06:42:51,renato.rossi,Projetos,Edição de reuniões
106,rf_adici,Permite adicionar Resultados Finalísticos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,RFs,Adição de RF
107,rf_edita,Permite editar os Resultados Finalísticos,2020-03-23 12:52:35,,2020-03-23 12:52:35,,RFs,Edição de RF
