idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
37,22221,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
38,20754,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
38,22150,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
39,20820,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
39,22152,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
40,20689,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
40,22223,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
41,21375,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
41,22162,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
42,20601,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
42,22163,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
43,20607,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
43,22164,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
44,21760,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
44,22158,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
45,20864,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
45,22157,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
46,20937,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
46,22148,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
47,21432,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
47,22153,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
48,20782,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
48,22156,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
49,20289,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
49,22191,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
50,20307,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
50,22234,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
51,20308,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
51,22206,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
52,22186,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
53,20427,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
53,22233,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
54,22190,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
55,20886,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
55,22209,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
56,22113,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
56,22184,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
57,22035,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
57,22217,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
58,20736,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
58,22214,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
59,22205,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
60,20838,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
60,22187,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
61,20344,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
61,22181,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
62,22013,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
62,22188,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
63,20359,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
63,22137,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
64,22014,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
64,22189,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
65,14054,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
65,22195,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
66,14105,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
66,22197,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
67,20638,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
67,22196,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
68,22185,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
69,13995,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
