idcidade,idbairro,nmbairro,flincluido
256,203,CENTRO, 
256,204,DJARD VIEIRA, 
256,205,EMILIO MOREIRA, 
256,206,JOSE ESTEVES, 
256,207,PALMARES, 
256,208,SANTA CLARA, 
256,209,SANTA RITA DE CASSIA, 
256,210,SAO BENEDITO, 
256,211,SAO FRANCISCO, 
256,212,SAO JOSE, 
256,213,SAO VICENTE DE PAULA, 
307,214,ALVORADA, 
307,215,BEIROL, 
307,216,BURITIZAL, 
307,217,CENTRAL, 
307,218,CONGOS, 
307,219,JARDIM EQUATORIAL, 
307,220,JARDIM FELICIDADE, 
307,221,JARDIM MARCO ZERO, 
307,222,JESUS DE NAZARE, 
307,223,LAGUINHO, 
307,224,MUCA, 
307,225,NOVA ESPERANCA, 
307,226,PACOVAL, 
307,227,PERPETUO SOCORRO, 
307,228,SANTA INES, 
307,229,SANTA RITA, 
307,230,SAO LAZARO, 
307,231,TREM, 
342,232,ALAGOINHAS VELHA, 
342,233,BARREIRO, 
342,234,CATU, 
342,235,CENTRO, 
342,236,DOIS DE JULHO, 
342,237,JARDIM PEDRO BRAGA, 
342,238,JARDIM PETROLAR, 
342,239,JURACY MAGALHAES, 
342,240,KENNEDY, 
342,241,MANGALO, 
342,242,PARQUE ALAGOINHAS, 
342,243,PARQUE VITORIA, 
342,244,SANTA ISABEL, 
342,245,SANTA TEREZINHA, 
342,246,SILVA JARDIM, 
342,247,TERESOPOLIS, 
403,248,BOA VISTA, 
403,249,BURITI, 
403,250,CENTRO, 
403,251,FLAMENGO, 
403,252,JURI, 
403,253,MORADA NOBRE, 
403,254,NOVA BARREIRAS, 
403,255,NOVO HORIZONTE, 
403,256,OURO BRANCO, 
403,257,PARQUE SANTA LUCIA, 
403,258,PRIMAVERA, 
403,259,RENATO GONCALVES, 
403,260,RIO GRANDE, 
403,261,SANDRA REGINA, 
403,262,SAO MIGUEL, 
403,263,SAO PEDRO, 
403,264,VILA AMORIM, 
403,265,VILA BRASIL, 
403,266,VILA DOCE, 
403,267,VILA FUNCIONARIOS, 
403,268,VILA NOVA, 
403,269,VILA REGINA, 
403,270,VILA RICA, 
403,271,VILA SAS, 
403,272,VILA SOLDADOS, 
473,273,ALTO DA CRUZ, 
473,274,BAIRRO DOS 46, 
473,275,BOMBA, 
473,276,CAMACARI DE DENTRO, 
473,277,CENTRO, 
473,279,DOIS DE JULHO, 
473,280,FICAM, 
473,281,GLEBA A, 
473,282,GLEBA B, 
473,283,GLEBA C, 
473,284,GLEBA E, 
473,285,GRAVATA, 
473,286,INOCOOP, 
473,287,LAMA PRETA, 
473,288,LIMOEIRO, 
473,289,MANGUEIRAL, 
473,290,NOVO HORIZONTE, 
473,291,PARQUE FLORESTAL, 
473,292,PARQUE SATELITE, 
473,293,PARQUE VERDE, 
473,294,PHOC I, 
473,295,PHOC II, 
473,296,PHOC III, 
473,297,PIACAVEIRA, 
473,299,POLO PETROQUIMICO, 
473,300,PONTO CERTO, 
473,301,SETOR INDUSTRIAL URBANO, 
473,302,TRIANGULO, 
473,303,VERA CRUZ, 
473,304,VERDES HORIZONTES, 
489,305,AREIA, 
489,306,CENTRO, 
489,307,MALEMBA, 
489,308,NOVA BRASILIA, 
489,309,NOVA CANDEIAS, 
489,310,PITANGA, 
489,311,SANTO ANTONIO, 
489,312,SARANDY, 
489,313,TRIANGULO, 
489,314,URBIS I, 
489,315,URBIS II, 
579,316,CAJUEIRO, 
579,317,CENTAURO OESTE, 
579,318,CENTRO, 
579,319,DOUTOR GUSMAO, 
579,320,STELA REIS, 
579,321,ITAPUA, 
579,322,JUCA ROSA, 
579,323,MINAS GERAIS, 
579,324,MOISES REIS, 
579,325,PEQUI, 
579,326,ROSA NETO, 
579,327,SANTA ISABEL, 
579,328,SANTA LUCIA, 
579,329,SAPUCAEIRA, 
579,330,TRANCOSO, 
579,331,URBIS I, 
579,334,VIVENDAS COSTA AZUL, 
582,336,BARAUNAS, 
582,337,BARRO VERMELHO, 
582,338,BRASILIA, 
582,340,CAMPO DO GADO, 
582,341,CAMPO LIMPO, 
582,342,CAPUCHINHOS, 
582,343,CASEB, 
582,344,CEDIN, 
582,345,CENTRO, 
582,346,CENTRO INDUSTRIAL SUBAE, 
582,347,CHACARA SAO COSME, 
582,348,CIDADE NOVA, 
582,349,CONCEICAO, 
582,350,CORONEL JOSE PINTO, 
582,352,DNER, 
582,353,ESTACAO NOVA, 
582,354,EUCALIPTO, 
582,356,GEORGE AMERICO, 
582,357,JARDIM ACACIA, 
582,358,JARDIM CRUZEIRO, 
582,359,JARDIM RECREIO, 
582,360,JARDIM SANTANA, 
582,362,KALILANDIA, 
582,363,LAGOA GRANDE, 
582,364,MANGABEIRA, 
582,365,MAR DA TRANQUILIDADE, 
582,366,MUCHILA I, 
582,367,MUCHILA II, 
582,368,NAJE, 
582,369,NOVO HORIZONTE, 
582,370,OLHOS D AGUA, 
582,371,PAMPALONA, 
582,372,PAPAGAIO, 
582,373,PARQUE ASA BRANCA, 
582,374,PARQUE BRASIL, 
582,375,PARQUE ELIZABETH, 
582,376,PARQUE ESTRELA DO ORIENTE, 
582,377,PARQUE GUADALAJARA, 
582,378,PARQUE IPE, 
582,379,PARQUE JOSE MARTINS CAMPELO, 
582,380,PARQUE LAGOA SALGADA, 
582,381,PARQUE LORENA, 
582,382,PARQUE MANOEL MATIAS, 
582,383,PARQUE MORADAS DO NORDESTE, 
582,384,PARQUE MURICI, 
582,385,PARQUE PANORAMA, 
582,386,PARQUE SANTO ANTONIO, 
582,387,PARQUE SITIO MATIAS, 
582,388,PARQUE SUMARE, 
582,389,PARQUE VENEZA, 
582,390,PARQUE VIOLETA, 
582,391,PARQUE 5 DE MAIO, 
582,392,PEDRA DO DESCANCO, 
582,393,PILAO, 
582,394,PONTO CENTRAL, 
582,395,PRESIDENTE GETULIO VARGAS, 
582,396,QUEIMADINHA, 
582,397,RUA NOVA, 
582,398,SANTA MONICA, 
582,399,SANTO ANTONIO DOS PRAZERES, 
582,400,SERRARIA BRASIL, 
582,401,SIM, 
582,402,SITIO NOVO, 
582,403,SOBRADINHO, 
582,404,TANQUE DA NACAO, 
582,405,TANQUE DO URUBU, 
582,406,TOMBA, 
582,407,VIETNAM, 
582,408,VILA GABRIELA, 
582,409,VILA SUBAE, 
582,410,35 BI, 
659,417,BAIXA FRIA, 
659,418,BARRA, 
659,421,BARREIRA, 
659,422,BASILIO, 
659,423,BELA VISAO, 
659,424,BOA VISTA, 
659,426,CENTRO, 
659,429,CIDADE NOVA, 
659,430,CONQUISTA, 
659,431,ESPERANCA, 
659,432,FAVELA, 
659,433,IGUAPE, 
659,435,JARDIM ATLANTICO, 
659,436,JARDIM SAVOIA, 
659,437,MALHADO, 
659,441,NELSON COSTA, 
659,444,PONTAL, 
659,445,PRINCESA ISABEL, 
659,449,SAO FRANCISCO, 
659,450,SAO SEBASTIAO, 
659,455,TAPERA, 
659,456,TEOTONIO VILELA, 
659,458,URBIS, 
659,459,VILA LIDIA, 
659,460,VILA NAZARE, 
683,461,ALTO DOS CANECOS, 
683,463,ALTO MIRANTE, 
683,464,ANTIQUE, 
683,465,BANCO RASO, 
683,466,CAIXA D AGUA, 
683,467,CALIFORNIA, 
683,468,CASTALIA, 
683,469,CENTRO, 
683,470,CENTRO COMERCIAL, 
683,471,CONCEICAO, 
683,472,DANIEL GOMES, 
683,473,DUQUE DE CAXIAS, 
683,474,FATIMA, 
683,475,FERRADAS, 
683,476,FONSECA, 
683,477,GOES CALMON, 
683,478,JACANA, 
683,479,JARDIM DE ALA, 
683,480,JARDIM ITALAMAR, 
683,481,JARDIM PRIMAVERA, 
683,482,JARDIM VITORIA, 
683,483,JOAO SOARES, 
683,484,JOSE COELHO, 
683,485,LOMANTO, 
683,486,MANGABINHA, 
683,487,MARIA PINHEIRO, 
683,488,MONTE CRISTO, 
683,489,MONTE LIBANO, 
683,490,NOVA CALIFORNIA, 
683,491,NOVA FERRADAS, 
683,492,NOVA ITABUNA, 
683,493,NOVO FONSECA, 
683,495,NOVO HORIZONTE, 
683,497,ODILON, 
683,498,OSVALDO CRUZ, 
683,499,PARAISO, 
683,500,PARQUE BOA VISTA, 
683,501,PARQUE SANTA CLARA, 
683,502,PARQUE VERDE, 
683,503,PEDRO GERONIMO, 
683,504,POMAR DO RIO, 
683,507,SANTA CATARINA, 
683,508,SANTA INES, 
683,509,SANTO ANTONIO, 
683,510,SAO CAETANO, 
683,511,SAO JUDAS TADEU, 
683,513,SAO PEDRO, 
683,515,SARINHA ALCANTARA, 
683,516,SIVAL PALMEIRA, 
683,517,URBIS, 
683,518,VALE DO SOL, 
683,519,VILA ANALIA, 
683,520,VITORIA LOUP SOARES, 
683,521,ZIZO, 
749,522,ALTO DO CEMITERIO, 
749,523,AMARALINA, 
