idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
536,2012-07-01,fn,2022-07-05 14:43:01,Mluiza,2022-07-05 14:43:01,Mluiza
537,2010-01-01,in,2022-07-05 14:41:10,Mluiza,2022-07-05 14:41:10,Mluiza
537,2012-07-01,fn,2022-07-05 14:41:10,Mluiza,2022-07-05 14:41:10,Mluiza
538,2010-01-01,in,2022-07-05 14:37:00,Mluiza,2022-07-05 14:37:00,Mluiza
538,2012-07-01,fn,2022-07-05 14:37:00,Mluiza,2022-07-05 14:37:00,Mluiza
539,2010-01-01,in,2022-07-05 14:33:28,Mluiza,2022-07-05 14:33:28,Mluiza
539,2012-07-01,fn,2022-07-05 14:33:28,Mluiza,2022-07-05 14:33:28,Mluiza
540,2010-01-01,in,2022-07-05 14:30:48,Mluiza,2022-07-05 14:30:48,Mluiza
540,2012-07-01,fn,2022-07-05 14:30:48,Mluiza,2022-07-05 14:30:48,Mluiza
541,2010-01-01,in,2022-07-05 14:31:47,Mluiza,2022-07-05 14:31:47,Mluiza
541,2012-07-01,fn,2022-07-05 14:31:47,Mluiza,2022-07-05 14:31:47,Mluiza
541,2022-01-01,in,2022-07-05 14:29:06,Mluiza,2022-07-05 14:29:06,Mluiza
541,2022-07-01,fn,2022-07-05 14:29:06,Mluiza,2022-07-05 14:29:06,Mluiza
542,2010-01-01,in,2022-06-30 10:47:20,Mluiza,2022-06-30 10:47:20,Mluiza
542,2012-07-01,fn,2022-06-30 10:47:20,Mluiza,2022-06-30 10:47:20,Mluiza
543,2010-01-01,in,2022-06-30 10:44:53,Mluiza,2022-06-30 10:44:53,Mluiza
543,2012-07-01,fn,2022-06-30 10:44:53,Mluiza,2022-06-30 10:44:53,Mluiza
544,2010-01-01,in,2022-07-11 09:45:58,Mluiza,2022-07-11 09:45:58,Mluiza
544,2012-07-01,fn,2022-07-11 09:45:58,Mluiza,2022-07-11 09:45:58,Mluiza
545,2010-01-01,in,2022-06-29 11:21:36,Mluiza,2022-06-29 11:21:36,Mluiza
545,2012-07-01,fn,2022-06-29 11:21:36,Mluiza,2022-06-29 11:21:36,Mluiza
