identidadeprop,idtipoentidade,identidade,nmchamada,nmconvenio,idbanco,dsagencia,dsconta,nmentidade,nuoperacao,idcidade,flativo,sigla,conta_tipo,pix_tipo,pix_chave,idprojeto
474,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2043
475,,11612,,,,,,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,,,MICROEMPA,,,,2043
476,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2044
477,,11612,,,,,,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,,,MICROEMPA,,,,2044
478,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2045
479,,11612,,,,,,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,,,MICROEMPA,,,,2045
480,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2046
481,,11612,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,MICROEMPA,,,,2046
482,,3458,,,,,,ASSOCIAÇÃO COMERCIAL DO AMAZONAS,,,,aca,,,,2032
483,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2032
486,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2048
487,,11794,,,,,,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,,,FACISC,,,,2048
488,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2047
489,,11786,,,,,,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,,,FEDERAMINAS,,,,2047
490,,11793,,,,,,Confederação das Associações Comerciais e Empresariais do Brasil,,,,CACB,,,,2049
491,,11786,,,,,,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,,,FEDERAMINAS,,,,2049
