idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
2031,11805,2023-03-25 08:55:26,renato.rossi,2023-03-25 08:55:26,renato.rossi,2
2031,11793,2023-03-25 08:55:26,renato.rossi,2023-03-25 08:55:26,renato.rossi,2
2046,11612,2023-03-30 08:46:16,nmabeck,2023-03-30 08:46:16,nmabeck,1
2046,11612,2023-03-30 08:46:16,nmabeck,2023-03-30 08:46:16,nmabeck,4
2046,11788,2023-03-30 08:46:16,nmabeck,2023-03-30 08:46:16,nmabeck,3
2046,11612,2023-03-30 08:46:16,nmabeck,2023-03-30 08:46:16,nmabeck,2
2046,11793,2023-03-30 08:46:16,nmabeck,2023-03-30 08:46:16,nmabeck,2
2047,11786,2023-04-27 10:33:22,renato.rossi,2023-04-27 10:33:22,renato.rossi,1
2047,11786,2023-04-27 10:33:22,renato.rossi,2023-04-27 10:33:22,renato.rossi,4
2047,11793,2023-04-27 10:33:22,renato.rossi,2023-04-27 10:33:22,renato.rossi,2
2047,11786,2023-04-27 10:33:22,renato.rossi,2023-04-27 10:33:22,renato.rossi,2
2049,11786,2023-06-01 23:33:06,emanoel,2023-06-01 23:33:06,emanoel,1
2049,11786,2023-06-01 23:33:06,emanoel,2023-06-01 23:33:06,emanoel,4
2049,11793,2023-06-01 23:33:06,emanoel,2023-06-01 23:33:06,emanoel,2
2049,11786,2023-06-01 23:33:06,emanoel,2023-06-01 23:33:06,emanoel,2
2048,11794,2023-08-17 10:29:34,gabriel.lima,2023-08-17 10:29:34,gabriel.lima,1
2048,11794,2023-08-17 10:29:34,gabriel.lima,2023-08-17 10:29:34,gabriel.lima,4
2048,11793,2023-08-17 10:29:34,gabriel.lima,2023-08-17 10:29:34,gabriel.lima,2
2048,11794,2023-08-17 10:29:34,gabriel.lima,2023-08-17 10:29:34,gabriel.lima,2
