idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
98,11794,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
37,11779,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
1162,11789,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
1044,11786,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
1166,11779,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
17,11789,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
131,11786,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
177,11774,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
132,11786,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
149,11776,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
140,11770,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
52,11794,2022-02-18 23:59:45,sistema,2022-02-18 23:59:45,sistema,1
2036,11788,2023-02-02 17:49:56,amauger,2023-02-02 17:49:56,amauger,3
2036,11793,2023-02-02 17:49:56,amauger,2023-02-02 17:49:56,amauger,2
2036,11612,2023-02-02 17:49:56,amauger,2023-02-02 17:49:56,amauger,2
2004,11793,2022-02-21 14:32:11,renato.rossi,2022-02-21 14:32:11,renato.rossi,1
2004,11793,2022-02-21 14:32:12,renato.rossi,2022-02-21 14:32:12,renato.rossi,4
1030,11786,2022-02-21 16:02:02,renato.rossi,2022-02-21 16:02:02,renato.rossi,1
193,11793,2022-02-21 16:06:33,renato.rossi,2022-02-21 16:06:33,renato.rossi,1
1222,3021,2022-03-18 14:01:14,Mluiza,2022-03-18 14:01:14,Mluiza,1
1225,3021,2022-03-18 14:03:14,Mluiza,2022-03-18 14:03:14,Mluiza,1
1226,3021,2022-03-18 14:04:26,Mluiza,2022-03-18 14:04:26,Mluiza,1
593,11789,2022-06-28 11:27:06,Mluiza,2022-06-28 11:27:06,Mluiza,1
593,1805,2022-06-28 11:27:07,Mluiza,2022-06-28 11:27:07,Mluiza,4
