id,tipo,id_entidade,id_vinculado,status,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao
1,entidade,11768,10903,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
2,entidade,11768,2583,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
3,entidade,11768,2742,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
4,entidade,11768,2461,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
5,entidade,11768,11633,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
6,entidade,11768,10909,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
7,entidade,11768,10905,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
8,entidade,11768,10906,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
9,entidade,11768,10910,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
10,entidade,11768,11632,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
11,entidade,11768,10908,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
12,entidade,11768,3060,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
13,entidade,11768,2728,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
14,entidade,11768,10907,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
15,entidade,11768,10904,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
16,entidade,11768,3062,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
17,entidade,11768,3061,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
18,entidade,11763,2782,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
19,entidade,11763,3460,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
20,entidade,11763,3411,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
21,entidade,11763,11623,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
22,entidade,11763,11638,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
23,entidade,11763,10916,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
24,entidade,11763,10912,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
25,entidade,11763,2659,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
26,entidade,11763,10914,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
27,entidade,11763,11621,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
28,entidade,11763,11743,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
29,entidade,11763,10913,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
30,entidade,11763,11639,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
31,entidade,11763,11733,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
32,entidade,11763,2687,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
33,entidade,11763,2783,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
34,entidade,11763,11474,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
35,entidade,11763,11503,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
36,entidade,11763,11473,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
37,entidade,11763,10917,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
38,entidade,11763,2604,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
39,entidade,11763,10911,true,2022-02-18 23:37:46,,2022-02-18 23:37:46,
