idprojeto,idparcela,dtrecebsolic,nudocumento,dtsolicinterna,nudocencaminha,dtliberacaorec,vlparcliberada
14,4,2015-07-30,42015,2015-09-24,25515,2015-09-25,17422.22
15,4,2015-07-30,42015,2015-09-24,30315,2015-09-25,14664.39
16,4,2015-09-30,42015,2015-10-06,31115,2015-10-07,10467.60
19,4,2015-09-30,42015,2015-12-09,34215,2015-12-10,17850.00
20,4,2015-09-30,42015,2015-11-24,34015,2015-11-25,18088.89
22,4,2015-09-30,42015,2015-10-06,26515,2015-10-07,16247.78
23,4,2015-09-30,42015,2015-10-06,26315,2015-10-07,17923.11
24,4,2015-09-30,42015,2015-10-06,26115,2015-10-07,8835.77
25,4,2015-07-30,42015,2015-09-24,25315,2015-09-25,6844.45
26,4,2015-07-30,42015,2015-08-04,20315,2015-08-05,12693.32
27,4,2015-09-30,42015,2015-10-06,31715,2015-10-06,15742.22
28,4,2015-09-30,42015,2015-10-07,32215,2015-10-07,16364.43
29,4,2015-09-30,42015,2015-10-06,32515,2015-10-06,15897.78
30,4,2015-09-30,42015,2015-10-06,32615,2015-10-06,16675.55
31,4,2015-07-30,42015,2015-09-03,21915,2015-09-03,20160.00
32,4,2015-07-30,42015,2015-09-03,22115,2015-09-03,19475.55
33,4,2015-07-30,42015,2015-09-03,21715,2015-09-03,18853.32
34,4,2015-07-30,42015,2015-09-03,22615,2015-09-03,15584.43
35,4,2015-09-30,42015,2015-10-06,32015,2015-10-07,20152.52
36,4,2015-07-30,42015,2015-07-30,19915,2015-07-31,15120.00
38,4,2015-07-30,42015,2015-08-04,20415,2015-08-05,15244.45
39,4,2015-07-30,42015,2015-08-04,20215,2015-08-05,18044.45
40,4,2015-07-30,42015,2015-09-03,22315,2015-09-03,18007.11
41,4,2015-09-30,42015,2015-10-06,32815,2015-10-06,16177.78
42,4,2015-09-30,42015,2015-10-06,32715,2015-10-06,16177.78
43,4,2015-09-30,42015,2015-10-06,32915,2015-10-06,15493.33
44,4,2015-09-30,42015,2015-11-24,34915,2015-11-25,16924.43
45,4,2015-09-30,42015,2015-11-24,35115,2015-11-25,17422.22
46,4,2015-09-30,42015,2015-10-06,32115,2015-10-06,14995.55
47,4,2015-07-30,42015,2015-09-03,23815,2015-09-03,16364.43
48,4,2015-07-30,42015,2015-09-03,23715,2015-09-03,17167.11
49,4,2015-07-30,42015,2015-09-11,23415,2015-09-11,11285.55
51,4,2015-07-30,42015,2015-08-28,23515,2015-09-11,18921.11
52,4,2015-09-30,42015,2015-11-13,27015,2015-11-13,15867.11
53,4,2015-09-30,42015,2015-12-08,33915,2015-12-08,36337.78
54,4,2015-09-30,42015,2015-12-17,40115,2015-12-21,16426.30
55,4,2015-07-30,42015,2015-09-21,22815,2015-09-21,9581.11
58,4,2015-09-30,42015,2015-11-13,37515,2015-11-13,34940.89
59,4,2015-09-30,42015,2015-11-11,24615,2015-11-11,10234.31
60,4,2015-07-30,42015,2015-09-25,24815,2015-10-08,13847.18
61,4,2015-09-30,42015,2015-10-07,24215,2015-10-08,17453.33
62,4,2015-09-30,42015,2015-11-26,38715,2015-12-01,16991.42
63,4,2015-09-30,42015,2015-12-08,38515,2015-12-08,16887.11
64,4,2015-09-30,42015,2015-12-08,37815,2015-12-08,18806.03
65,4,2015-09-30,42015,2015-10-11,37215,2015-11-11,18609.42
66,4,2015-09-30,42015,2015-10-07,24515,2015-10-08,18962.85
67,4,2015-09-30,42015,2015-11-11,37715,2015-11-11,27069.16
68,4,2015-09-30,42015,2015-11-24,36515,2015-11-25,28268.03
69,4,2015-09-30,42015,2015-10-26,33415,2015-11-06,17897.60
70,4,2015-09-30,42015,2015-10-26,33615,2015-11-06,18592.00
71,4,2015-09-30,42015,2015-10-26,36215,2015-10-27,11142.76
72,4,2015-08-30,42015,2015-09-03,20815,2015-09-03,33840.00
73,4,2015-09-30,42015,2015-10-07,27315,2015-10-08,16742.75
74,4,2015-09-30,42015,2015-10-07,25015,2015-10-08,23887.78
75,4,2015-09-30,42015,2015-10-07,27515,2015-10-08,9970.02
76,4,2015-09-30,42015,2015-11-11,28715,2015-11-11,11337.63
77,4,2015-09-30,42015,2015-11-11,28815,2015-11-11,28009.41
78,4,2015-07-30,42015,2015-09-25,24315,2015-10-08,7603.56
79,4,2015-09-30,42015,2015-11-10,37415,2015-11-11,9360.71
80,4,2015-09-30,42015,2015-10-20,28115,2015-10-20,8786.67
81,4,2015-09-30,42015,2015-11-10,37415,2015-11-11,18537.23
83,4,2015-09-30,42015,2015-10-07,23615,2015-10-08,25240.18
84,4,2015-09-30,42015,2015-10-07,27715,2015-10-08,3820.22
85,4,2015-09-30,42015,2015-10-06,31615,2015-10-06,17051.38
87,4,2015-09-30,42015,2015-10-06,31915,2015-10-07,17260.43
92,4,2015-09-30,42015,2015-12-15,35615,2015-12-17,11424.00
93,4,2015-09-30,42015,2015-10-06,26715,2015-10-07,11037.78
94,4,2015-09-30,42015,2015-11-17,36015,2015-11-19,5544.00
97,4,2015-09-30,42015,2015-10-15,31515,2015-10-15,16264.89
99,4,2015-09-30,42015,2015-11-11,37015,2015-11-11,18236.09
100,4,2015-09-30,42015,2015-11-11,27915,2015-11-11,12638.58
101,4,2015-09-30,42015,2015-12-09,36815,2015-12-10,14933.32
103,4,2017-11-22,4,2017-11-22,801,2017-11-22,4365.00
110,4,2018-05-09,4,2018-05-09,308,2018-05-30,18915.00
116,4,2018-05-09,4,2018-05-09,309,2018-05-30,18915.00
164,4,2017-01-06,4,2017-08-04,4642017,2017-09-01,13560.00
166,4,2018-05-09,4,2018-05-09,307,2018-05-30,3731.61
169,4,2017-08-09,4,2017-08-09,4682017,2017-08-15,19890.00
