idramoativ,nmramoativ
1322600,EXTRACAO DE MINERIO ESTANHO
1322601,EXTRACAO DE MINERIO DE ESTANHO
1322602,BENEFICIAMENTO DE MINERIO DE ESTANHO
1323400,EXTRACAO DE MINERIO MANGANES
1323401,EXTRACAO DE MINERIO DE MANGANES
1323402,BENEFICIAMENTO DE MINERIO DE MANGANES
1324200,EXTRACAO DE MINERIO METAIS PRECIOSOS
1324201,EXTRACAO DE MINERIOS DE METAIS PRECIOSOS
1324202,BENEF MINERIO METAIS PREC ASSOC CONT EXT
1324203,EXTRACAO DE MINERAIS
1324204,EXTRACAO DE MINERAIS METALICOS
1324205,"EXTRACAO DE OURO PRATA PLATINA, ETC"
1324206,EXTRACAO DE URANIO TORIO AREIA MONAZITIC
1324207,EXTRACAO DE ITABIRITO HEMATITA CANGA ETC
1324208,COM VAREJISTA DE OURO E PRATA
1325000,EXTRACAO DE MINERAIS RADIOATIVOS
1329300,EXTRACAO OUT MINERAIS METAL NAO FERROSOS
1329301,EXTRACAO DE NIOBIO E TITANIO
1329302,EXTRACAO DE TUNGSTENIO
1329303,EXTRACAO DE NIQUEL
1329304,"EXTRACAO COBRE,CHUMBO,ZINCO OUT MINERAIS"
1329305,BENEF COBRE CHUMBO ZINCO NIQUEL OUT MET
1329399,"BENEF COBRE,CHUMBO,ZINCO,NIQUEL"
1410900,EXTRACAO DE PEDRA AREIA ARGILA
1410901,EXTRACAO DE ARDOSIA BENEF ASSOCIADO
1410902,EXTRACAO GRANITO BENEF ASSOCIADO
1410903,EXTRACAO DE MARMORE BENEF ASSOCIADO
1410904,"EXTRACAO CALCARIO,DOLOMITA BENEF ASSOC"
1410905,EXTRACAO GESSO E CAULIM BENEF ASSOCIADO
1410906,"EXTRACAO AREIA,CASCALHO PEDREGULHO BENEF"
1410907,EXTRACAO ARGILA BENEFICIAMENTO ASSOCIADO
1410908,EXTRACAO SAIBRO BENEFICIAMENTO ASSOCIADO
1410909,EXTRACAO BASALTO BENEF ASSOCIADO
1410999,EXTRACAO BRITAMENTO PEDRAS OUT MATERIAIS
1420099,EXTRACAO OUT MINERAIS N METAL N ESP ANT
1421400,EXTR MINERAIS FAB DE ADUBOS FERTILIZANTE
1422200,EXTRACAO E REFINO SAL MARINHO SALGEMA
1422201,EXTRACAO DE SAL MARINHO
1422202,EXTRACAO DE SAL GEMA
1422203,REFINO E OUTROS TRATAMENTOS DO SAL
1429000,EXTRACAO OUTROS MINERAIS NAO METALICOS
1429001,EXTRACAO DE GEMAS
1429002,EXTRACAO DE GRAFITA
1429003,EXTRACAO DE QUARTZO CRISTAL DE ROCHA
1429004,EXTRACAO DE AMIANTO
1429099,EXTR OUT MINERAIS N METALICOS N ESPEC
1511300,ABATE RESES PREPAR PROD DE CARNE
1511301,FRIG ABATE BOVINOS PREP CARNE SUBPRODUTO
1511302,FRIG ABATE SUINOS PREP CARNE SUBPRODUTOS
1511303,FRIG ABATE EQUINOS PREP CARNE SUBPRODUTO
1511304,FRIG ABATE OVINOS CAPRINOS PREP CARNE
1511305,FRIG ABATE BUFALINOS PREP CARNE SUBPROD
1511306,MATADOURO ABATE RESES PREP CARNE P TERC
1512100,ABATE AVES PEQ ANIMAIS PREP PROD CARNE
1512101,ABATE AVES PREP PRODS CARNE SUBPRODUTOS
1512102,ABATE PEQ ANIMAIS PREPARAÇÃO PRODS CARNE
1513000,PREP CARNE BANHA PROD SALSICHARIA
1513001,"PREP CARNE,BANHA PRODS SALSICHARIA"
1513002,PREP SUBPRODUTOS N ASSOCIADO AO ABATE
1513003,PREPARACAO CONSERVAS CARNE SUBPRODUTOS
1513004,PREPARACAO EXTRATOS CARNES LINGUICAS
15133001,PREPARACAO CARNE SECA SALGADA DEFUMADA
1514800,PREP CONSERV PESCADO FAB CONSERVAS PEIXE
1521000,PROCES PRESERV PROD CONSERVAS FRUTAS
1521001,PREPARACAO ALIMENTOS CONSERVAS N ESPECIF
1521002,COM VAREJ POLPA FRUTAS LEGUMES CONGELADO
1522900,PROCES PRESERV PROD CONSERVAS LEGUMES
1522903,PREPARACAO CONSERVAS MOLHOS MASSAS SOPAS
1522904,PREPARACAO DE MASSA DE TOMATE
1523700,PRODUCAO DE SUCOS FRUTAS LEGUMES
1531800,PRODUCAO OLEOS VEGETAIS BRUTO
1531804,FAB OLEOS GIRASSOL MILHO ARROZ SOJA
1531805,FAB OLEOS VEGETAIS GORDURAS P ALIMENT
1532600,REFINO DE OLEOS VEGETAIS
1533400,PREP MARGARINA OUTRAS GORDURAS VEGETAIS
1541500,PREPARACAO DO LEITE
1542300,FABRICACAO PRODUTOS DO LATICINIO
1543100,FAB SORVETES TORTAS BOLOS GELADOS
1551200,BENEFIC ARROZ FAB PRODUTOS DO ARROZ
1551201,BENEFICIAMENTO DE ARROZ
1551202,FABRICACAO DE PRODUTOS DO ARROZ
1552000,MOAGEM TRIGO FABRICACAO DERIVADOS
1552001,COMERCIO ATACADISTA TRIGO EM GRAO
1553900,FABRICACAO FARINHA MANDIOCA E DERIVADOS
1553901,REPRES VENDA PROD DERIVADOS MANDIOCA
1554700,FAB FUBA FARINHA OUT DERIV MILHO
1555500,FABR AMIDOS FECULAS VEG FAB OLEOS MILHO
1556300,FABRIC RACOES BALANCEADAS ANIMAIS
1556301,COMERCIO VAREJISTA VACINAS SOROS ADUBOS
1559800,BENEF MOAGEM PREP OUT ALIMENTOS VEGETAL
1561000,USINAS DE ACUCAR
1561001,FAB GLICOSE DE CANA DE ACUCAR
1561002,FAB MAQS APARELHOS P IND DO ACUCAR
1562800,REFINO DE MOAGEM DE ACUCAR
1562801,REFINO MOAGEM ACUCAR DE CANA
1562802,FABR ACUCAR CEREAIS (DEXTROSE) BETERRABA
1562803,FABR ACUCAR DE STEVIA
1571701,BENEFICIAMENTO DE CAFE
1571702,TORREFACAO E MOAGEM DE CAFE
1572500,FABRICACAO DE CAFE SOLUVEL
1581401,FAB PAES BOLOS EQUIVALENTES INDUSTRIALIZ
1581402,"FAB DE PRODS.DE PADARIA,CONF.,PASTELARIA"
1582200,FAB BISCOITOS BOLACHAS
1583000,PROD DERIV CACAU ELAB CHOCOLATES BALAS
1583001,PROD DERIV CACAU ELAB CHOCOLATES
1583002,PROD BALAS E SEMELHANTES FRUTAS
1583004,FAB DERIVADOS BENEFICIAMENTO CACAU BALAS
1584900,FABRICACAO MASSAS ALIMENTICIAS
1584903,FAB DOCES EM MASSA PASTA EM CALDA
1584904,FAB DE BALAS CARAMELOS PASTILHAS DROPS
1584905,FAB MASSAS P TALHARIM RAVIOLI CAPELETE
1584906,FAB PREPARACAO DE ALIMENTOS DIETETICOS
1584907,FAB PROD PADARIA CONFEITARIA PASTELARIA
1585700,PREP ESPEC MOLHOS TEMPEROS CONDIMENTOS
1586500,PREP PROD DIETET ALIM CRIANCA OUT ALIM
1589000,FABRICACAO OUTROS PROD ALIMENTICIOS
1589001,FABRICACAO DE VINAGRES
1589002,FABRICACAO DE POS ALIMENTICIOS
1589003,"FABR FERMENTOS,LEVEDURAS E COALHOS"
1589004,FABRICACAO DE GELO COMUM
1589005,"BENEF CHA, MATE E OUT ERVAS PARA INFUSAO"
1589006,FAB GELATINAS USO ALIMENTICIO FARMAC
1589007,FAB MASSAS POS ALIMENTICIOS PAES BOLOS
1589099,FABR OUTROS PRODUTOS ALIMENTICIOS
1591100,FAB RETIF HOMOG MISTURA AGUARDENTE OUT
1591101,FABR RETIF HOMOG MISTURA AGUARDENTE CANA
1591102,FABR RETIF HOMOG MISTURA OUT AGUARDENTES
1592000,FABRICACAO DE VINHO
1593800,FABRICACAO MALTE CERVEJAS CHOPES
1593801,"FABR MALTE, INCLUSIVE MALTE UISQUE"
1593802,FABRICACAO DE CERVEJAS E CHOPES
1594600,ENGARRAF GASEIFICADOS AGUAS MINERAIS
1594601,COM IND EQUIP PRODS TRATAMENTO DE AGUA
1595400,FABRICACAO REFRIGERANTES REFRESCOS
1595401,FABRICACAO DE REFRIGERANTES
1595402,FABR REFRESCOS XAROPES E POS P REFRESCOS
1595403,COM VAREJISTA DE BEBIDAS ALCOOLICAS
1595404,FAB ENGARRAFAMENTO BEBIDAS N ALCOOLICAS
1595408,FABR ENGARRAFAMENTO BEBIDAS ALCOOLICAS
1600400,FABRICACAO PRODUTOS DO FUMO
1600401,FABRICACAO DE CIGARROS E CIGARRILHAS
1600402,FABR FUMO ROLO OU EM CORDA OUT PROD FUMO
1600403,FABR FILTROS PARA CIGARROS
1600404,FABRICACAO DE CIGARRILHAS E CHARUTOS
1711600,BENEFICIAMENTO DE ALGODAO
1719100,BENEF OUTRAS FIBRAS TEXTEIS NATURAIS
1721300,FIACAO DE ALGODAO
1721600,FIACAO DE ALGODAO
1722100,FIACAO OUTRAS FIBRAS TEXTEIS NATURAIS
1723000,FIACAO FIBRAS ARTIFICIAIS SINTETICAS
1723001,FIACAO SEDA ANIMAL E SUAS MESCLAS
1723002,FIACAO LA E SUAS MESCLAS
1724800,FABRICACAO LINHAS FIOS P COSER BORDAR
1731000,TECELAGEM DE ALGODAO
1732900,TECELAGEM FIOS FIBRAS TEXTEIS NATURAIS
1733700,TECELAGEM FIOS FILAMENTOS CONT ARTIF SIN
1741800,FAB ART TEC USO DOMEST INC TECELAGEM
1749300,FAB OUTROS ARTEFATOS TEXTEIS INC TECELAG
1749301,FAB ARTEFATOS TECELAGEM MALHAS
1750701,"ESTAMPARIA TEXTURIZACAO EM FIOS,TECIDOS"
1750702,"ALVEJAMENTO,TINGIMENTO E TORCAO EM FIOS"
1750799,OUTROS SERVS.DE ACABAMENTO EM FIOS
1761200,FAB ARTEF TEXTEIS A PARTIR TECIDOS
1762000,FABRICACAO ARTEFATOS TAPECARIA
1763900,FABRICACAO ARTEFATOS CORDOARIA
1764700,FAB TECIDOS ESPECIAIS INCLUSIVE ARTEFATO
1769800,FAB OUT ART TEXTEIS EXCLUSIVE VESTUARIO
1771000,FABRICACAO DE TECIDOS DE MALHA
1772800,FABRICACAO DE MEIAS
1779500,FAB OUTROS ART VESTUARIO PROD MALHARIAS
1811200,CONFECCAO PECAS INTERIORES VESTUARIO
1811201,CONF PECAS INTER VEST EXC SOB MEDIDA
1811202,CONF SOB MEDIDA PECAS INTER VESTUARIO
1811203,ALUGUEL VESTIDOS PARA NOIVAS TRAJES
1811206,CONFECCOES PECAS VESTUARIOS CAMISAS
1812000,CONFECCAO OUTRAS PECAS VESTUARIO
1812001,CONF PECAS VESTUARIO EXCETO PECAS INTIMA
1812002,CONF SOB MEDIDA OUT PECAS VESTUARIO
1812003,FAB SOMBRINHAS GUARDA CHUVAS GUARDA SOIS
1812004,FAB ARTIGOS VESTUARIO PECAS EM GERAL
1812005,FAB FITAS ELASTICAS FITAS TECIDOS FILO
1812006,FAB DE ARTEFATOS PARA USO DOMESTICOS
1812007,COMERCIO VAREJISTA DE LINGERIE EM GERAL
1812008,CONFECCOES PECAS INTIMAS DO VESTUARIO
1812009,FAB ARTIGOS PARA PRESENTES N ESPECIFICAD
1813900,CONFECCAO DE ROUPAS PROFISSIONAIS
1813901,CONF ROUPAS PROF EXCLUSIVE SOB MEDIDA
1813902,CONF SOB MEDIDA ROUPAS PROFISSIONAIS
1813903,COM VAREJ ARTIGOS P SERVICOS MESA COPA
1813904,COM VAREJ ROUPAS ACESSORIOS INFANTIL
1813905,COM ATAC ROUPAS ACESSORIOS INFANTIL
1821000,FABRICACAO DE ACESSORIOS DO VESTUARIO
1821001,COM VAREJISTA ACESSORIOS DO VESTUARIO
1822800,FABRIC ACES SEGURANCA INDUSTRIAL PESSOAL
1910000,CURTIMENTO OUTRAS PREPARACOES COURO
1921600,FABR MALAS BOLSAS VALISES OUT ARTEF
1921601,COM VAREJISTA DE BOLSAS EM GERAL
1929100,FABRICACAO OUTROS ARTEFATOS DE COURO
1929102,COM ATAC ARTIGOS DE COURO
1929103,FAB DE ARTEF COUROS PELES ASSEMELHADOS
1929104,FAB ARTEFATOS SELARIA EM COURO E ASSEMEL
1929105,FAB BOLSAS SACOLAS CARTEIRAS PASTAS
1931300,FABRICACAO DE CALCADOS DE COURO
1931301,FAB CALCADOS COURO ASSEMELHADOS
1931302,SERV CORTE ACABAMENTO DE CALCADOS
1932100,FABRICACAO DE TENIS DE QUALQUER MATERIAL
1933000,FABRICACAO DE CALCADOS DE PLASTICO
1939900,FABRICACAO DE CALCADOS OUTROS MATERIAIS
2010901,DESDOBRAMENTO DE MADEIRA
2010902,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA
2010903,SERRARIA COM DESDOBRAMENTO DE MADEIRA
2021400,FAB MADEIRA LAMINADA CHAPAS COMPENSADAS
2022200,FAB ESQUADRIAS MADEIRA CASAS PRE FABRIC
2022201,PROD CASAS DE MADEIRA PRE FABRICADAS
2022202,FABR ESQ MADEIRA VENEZIANAS PECAS INSTAL
2022203,FAB ESQUADRIAS C PREDOMINANCIA MADEIRA
2022299,FABR OUT ARTIGOS CARPINTARIA
2023000,FAB ARTEF TANOARIA EMBALAGENS MADEIRA
2029000,FAB ARTEF DIV MADEIRA PALHA CORTICA
2029001,FAB ARTEF DIVERSOS MADEIRA EXCETO MOVEIS
2029002,FAB ARTEF BAMBU PALHA VIME MAT TRANCADOS
2110500,FAB CELULOSE OUTRAS PASTAS FABR PAPEL
2121000,FABRICACAO DE PAPEL
2121001,REPROGRAFIA E OFFSET
2121002,FAB CELULOSE QUIMITERMOMECANICA
2121003,INDUSTRIA PAPEL PAPELAO E CELULOSE
2121004,FAB PERFURADORES GRAMPEADORES DE PAPEL
2121005,FAB PERFURADORES CARTOES FITA PEPEL
2121006,FAB PAPEL P PAREDE TELHAS DE PAPELAO
2121007,FAB PAPEL MOEDA APOLICES ACOES TALOES CH
2121008,FAB PECAS ACESS CONFECCIONADOS EM PAPEL
2121009,IMPRESSAO EM PAPEL PAPELAO CARTOLINA
2122900,FABRICACAO PAPELAO LISO CARTOLINA CARTAO
2131800,FABRICACAO DE EMBALAGENS DE PAPEL
2132600,FAB EMBALAGENS PAPELAO E CORRUGADO
2141500,FAB ARTEF PAPEL PAPELAO CARTOLINA CARTAO
2142300,FABR FITAS FORM CONT IMPRESSOS OU NAO
2149000,FAB OUTROS ARTEF PASTAS PAPEL PAPELAO
2149001,FABR FRALDAS DESCART ABSORV HIGIENICOS
2149099,FABR OUT ARTEF PASTAS PAPEL PAPELAO
2211000,EDICAO E IMPRESSAO DE JORNAIS
2211001,FAB MATERIAIS IMPRESSOS N ESPECIFICADOS
2212800,EDICAO E IMPRESSAO DE REVISTAS
2213600,EDICAO E IMPRESSAO DE LIVROS
2214400,EDICAO DE DISCOS FITAS OUT MAT GRAVADOS
2215200,EDICAO DE LIVROS JORNAIS E REVISTAS
2216000,EDICAO E IMPRESSAO DE LIVROS
2217900,EDICAO E IMPRESSAO DE JORNAIS
2218700,EDICAO E IMPRESSAO DE REVISTAS
2219500,EDICAO E IMPRESSAO OUTROS PROD GRAFICOS
2221700,IMPRESSAO DE JORNAIS REVISTAS E LIVROS
2222500,SERV IMPRESSAO MAT ESCOLAR MAT IND COM
2222501,IMPRESSAO DE MATERIAL PARA USO ESCOLAR
2222502,IMPRESSAO MAT USO INDL COML PUBLICITARIO
2222503,IMPRESSAO MATERIAL DE SEGURANCA
2229201,SERVICOS DE ENCARDENACAO E PLASTIFICACAO
2229202,COMPOSICAO MATRIZES P/IMPRESSAO GRAFICA
2229203,DESIGN GRAFICO
2229205,PRODUCAO MATRIZES PARA IMPRESSAO CLICHES
2229299,OUTROS SERVICOS GRAFICOS
2231400,REPRODUÇÃO DE DISCOS E FITAS
2232200,REPRODUÇÃO DE FITAS DE VIDEOS
2233000,REPRODUÇÃO DE FILMES
2234900,REPROD PROGR INFORMATICA DISQUETES FITAS
2310800,COQUERIAS
2320500,REFINO DE PETROLEO
2321300,REFINO DE PETROLEO
2329901,FORMULACAO DE COMBUSTIVEIS
2329902,RERREFINO DE OLEOS LUBRIFICANTES
2330200,ELABORACAO DE COMBUSTIVEIS NUCLEARES
2330201,ELABORACAO JINGLES PROMOCAO DE VENDAS
2340000,FABRICACAO DE ALCOOL
2340001,FAB MAQ APARELHOS IND DESTILARIA ALCOOL
2340002,DESTILACAO ALCOOL PROCESSADO DA MANDIOCA
2340003,DESTILACAO ALCOOL PROCESSAMENTO CANA
2411200,FABRICACAO DE CLORO E ALCALIS
2412000,FABRICACAO INTERMEDIARIOS FERTILIZANTES
2413900,FABRICACAO ADUBOS E FERTILIZANTES
2414700,FABRICACAO DE GASES INDUSTRIAIS
2419800,FABRICACAO OUTROS PRODUTOS INORGANICOS
2421000,FAB PRODUTOS PETROQUIMICOS BASICOS
2422800,FAB INTERMEDIARIOS P RESINAS FIBRAS
2422801,FABRICACAO DE VELAS DERIVADOS PARAFINA
2429500,FAB OUTROS PROD QUIMICOS ORGANICOS
2429501,PRODUCAO DE CARVAO VEGETAL
2429502,COMERCIO VAREJISTA DE DESINFETANTES
2429503,COMERCIO VAREJISTA PRODUTOS CONSERVACAO
2429504,COM VAREJISTA DE CONSERVACAO DOMICILIAR
2429599,FAB OUTROS PROD QUIMICOS ORGANICOS
2431700,FABRICACAO DE RESINAS TERMOPLASTICAS
2431701,FAB PRODS DUROPLASTICOS ELASTOMEROS
2431702,FABRICACAO DE PRODUTOS TERMOPLASTICOS
2432500,FABRICACAO DE RESINAS TERMOFIXAS
2433300,FABRICACAO DE ELASTOMEROS
2441400,FAB FIBRAS FIOS CABOS FILAM ARTIFICIAIS
2442200,FAB FIBRAS FIOS CABOS FILAMENTOS SINTET
2451100,FABRICACAO DE PRODUTOS FARMOQUIMICOS
2452000,FABRICACAO MEDICAMENTOS USO HUMANO
2452001,FABR MEDICAM ALOPATICOS P USO HUMANO
2452002,FABR MEDICAM HOMEOPATICOS P USO HUMANO
2453800,FABRICACAO MEDICAMENTOS USO VETERINARIO
2454600,FAB MAT USO MEDICO HOSPITALARES ODONTOL
2461900,FABRICACAO DE INSETICIDAS
2461901,COMERCIO VAREJISTA DE INSETICIDAS
2462700,FABRICACAO DE FUNGICIDAS
2463500,FABRICACAO DE HERBICIDAS
2469400,FABRICACAO DE DEFENSIVOS AGRICOLAS
2471600,FAB SABOES SABONETES DETERGENTES SINTET
2472400,FABRICACAO PRODUTOS LIMPEZA POLIMENTO
2473200,FABRICACAO ARTIGOS PERFUMARIA COSMETICOS
2481300,FAB TINTAS VERNIZES ESMALTES LACAS
2482100,FABRICACAO TINTAS DE IMPRESSAO
2483000,FAB IMPERMEABILIZANTES SOLVENTES AFINS
2491000,FABRICACAO DE ADESIVOS E SELANTES
2492900,FABRICACAO DE EXPLOSIVOS
2492901,FABR POLVORAS EXPLOSIVOS DETONANTES
2492902,FABR ARTIGOS PIROTECNICOS
2493700,FABRICACAO DE CATALISADORES
2494500,FABRICACAO DE ADITIVOS DE USO INDUSTRIAL
2495300,FAB CHAPAS FILMES PAPEIS PROD FOTOGRAFIA
2496100,FABRICACAO DE DISCOS E FITAS VIRGENS
2499600,FAB OUT PROD QUIMICOS NAO ESPEC CLASSIF
2499602,FABRICACO DE PRODUTOS FARMACEUTICOS
2499603,FAB DE PRODUTOS FARM HOMEOPATICOS
2511900,FABRICACAO PNEUMATICOS CAMARAS DE AR
2511901,FABRICACAO PRODUTOS ABRASIVOS
2512700,RECONDICIONAMENTO DE PNEUMATICOS
2519400,FABRICACAO ARTEFATOS DIVERSOS BORRACHA
2519401,REPARAÇÃO ARTIGOS BORRACHA COURO PELE
2519405,FAB ARTEF DIVERSOS N ESPEFIFICADOS
2521600,FAB LAMINADOS PLANOS TUBULARES PLASTICOS
2522400,FABRICACAO DE EMBALAGEM DE PLASTICO
2529100,FABRICACAO ARTEFATOS DIVERSOS PLASTICO
2529101,FABR ARTEF MAT PLAST USO PESSOAL DOMEST
2529102,FABR ARTEF MAT PLAST USO INDL
2529103,FABR ARTEF MAT PLAST USO CONSTR CIVIL
2529104,FAB DE MARMORES E GRANITOS CONSTR CIVIL
2529106,FABR FORMAS CONCRETO USO CONST CIVIL
2529199,FABR ARTEF PLASTICO P OUTROS USOS
2611500,FABRICACAO VIDRO PLANO E DE SEGURANCA
2612300,FABRICACAO DE VASILHAMES DE VIDRO
2619000,FAB ARTEFATOS DE VIDROS E CRISTAL
2619001,FABRICACAO VIDROS E CRISTAIS
2619002,COM VAREJISTA DE VIDROS E CRISTAIS
2619003,COM VAREJISTA ARTEFATOS DE VIDRACARIA
2620400,FABRICACAO DE CIMENTO
2630100,FAB ARTEF CONCRETO CIMENTO FIBROCIMENTO
2630101,FAB ESTRUTURA PRE MOLDADOS DE CIMENTO
2630102,FABR ARTEF CIMENTO P USO CONSTR CIVIL
2630103,FABR ARTEF FIBROCIMENTO USO CONSTR CIVIL
2630104,FABR CASAS PRE MOLDADAS DE CONCRETO
2630105,PREP MASSA CONCRETO ARGAMASSA CONSTRUCAO
2630106,FABRICACAO PECAS FUNDIDAS FERRO E ACO
2630107,FAB ARTEFATOS METAL USO DOMESTICOS
2630108,FAB APAR INSTR MATL OPTICOS FOTOG CINEMA
2630109,FAB DE LAMPADAS PECAS ACESSORIOS
2630199,FABR OUT ARTEF PROD CONCRETO CIMENTO
2641700,FAB PROD CERAM NAO REFRAT USO ESTRUTURAL
2641701,FABR ARTEF CERAMICA OU BARRO COZIDO
2641702,FABR AZULEJOS E PISOS
2641705,COM VAREJISTA DE PISOS E AZULEJOS
