idramoativ,nmramoativ
2642500,FABRICACAO PROD CERAMICOS REFRATARIOS
2642501,COMERCIO VAREJISTA PORCELANAS MASSAS
2649201,FAB DE MATERIAL SANITARIO DE CERAMICA
2649202,FAB DE MATERIAL CERAMICO
2649299,FAB DE PRODUTOS CERAMICOS NAO REFRATARIO
2691300,BRITAMENTO APARELHAM OUTROS TRAB PEDRA
2691301,BRITAMENTO DE PEDRAS NAO ASSOC EXTRACAO
2691302,APARELHAM PEDRAS CONSTR NAO ASSOC EXTR
2691303,APARELHAMENTO PLACAS EXEC TRAB MARMORE
2692100,FAB DE CAL VIRGEM CAL HIDRATADA GESSO
2692103,FABRICACAO DE BLOCOS DE CONCRETO
2692104,FABRICACAO DE TIJOLOS E TELHAS
2692105,FAB DE ARTEFATOS PECAS ORNATOS DE GESSO
2699900,FAB OUTROS PROD MINERAIS NAO METALICOS
2711100,PRODUCAO DE LAMINADOS PLANOS DE ACO
2711101,PROD LAMIN PLANOS ACO COMUM REVEST
2711102,PROD LAMIN PLANOS DE ACOS ESPECIAIS
2711103,SIDERURGIA
2711104,COM VAREJISTA PROD SIDERURGICOS
2711105,COM ATAC PRODUTOS SIDERURGICOS
2712000,PRODUCAO DE LAMINADOS NAO PLANOS DE ACO
2712001,PROD TUBOS E CANOS SEM COSTURA
2712099,PROD OUT LAMIN NAO PLANOS DE ACO
2713800,PRODUCAO DE FERRO GUSA
2714600,PRODUCAO DE FERRO-LIGAS
2721900,PRODUCAO DE GUSA
2722700,PROD FERRO ACO FERROLIGAS FORMAS PRIMAR
2723500,PRODUCAO DE SEMI-ACABADOS DE ACO
2724301,PROD LAMIN PLANOS ACO CARBONO REV OU NAO
2724302,PRODUCAO LAMINADOS PLANOS ACOS ESPECIAIS
2724303,PRODUCAO LAMINADOS EXTRUDADOS
2725101,PRODUCAO DE TUBOS E CANOS SEM COSTURA
2725199,PRODUCAO OUTROS LAMINADOS LONGOS DE ACO
2726001,PRODUCAO DE ARAMES DE ACO
2726002,PROD RELAMINADOS TREF PERF ACO EXC ARAME
2729400,PROD RELAM TREF RETREF ACO EXC TUBOS
2729401,PRODUCAO DE ARAMES DE ACO
2729402,PROD RELAM TREF RETREF ACO PERFIS ESTAMP
2731600,FABRICACAO DE TUBOS DE ACO COM COSTURA
2739100,FABRICACAO DE OUTROS TUBOS DE FERRO ACO
2741300,METALURGIA DO ALUMINIO E SUAS LIGAS
2741301,METALURGIA DO ALUMINIO E SUAS LIGAS
2741302,PROD LAMINADOS DE ALUMINIO
2741303,FABRICACAO ARTEFATOS ALUMINIOS
2741304,COMERCIO VAREJISTA ARTEFATOS ALUMINIO
2741305,COM ATACADISTA LIGAS NAO FERROSAS
2742100,METALURGIA DOS METAIS PRECIOSOS
2749900,METALURGIA OUT METAIS N FER SUAS LIGAS
2749901,METALURGIA DO ZINCO
2749902,PROD LAMINADOS DE ZINCO
2749903,PROD SOLDAS ANODOS P GALVANOPLASTIA
2749904,SERVICO INDUSTRIAL USINAGEM E SOLDA
2749905,SERVICOS DE GALVANOPLASTIA
2749999,METALURGIA OUT METAIS N FERROSOS
2751000,FABRICACAO DE PECAS FUNDIDAS FERRO ACO
2752900,FAB PECAS FUNDIDAS METAIS N FER LIGAS
2811800,FAB ESTRUT METAL EDIF PONTES TORRES
2812600,FABRICACAO DE ESQUADRIAS DE METAL
2812601,COM VAREJISTA DE ESQUADRIAS EM GERAL
2812602,COM ATACADISTA DE ESQUADRIAS EM GERAL
2812604,FAB DE TALHERES FACAS TESOURAS LAMINAS
2812605,COMERCIO VAREJISTA LOUCAS FAQUEIROS
2813400,FABRICACAO DE OBRAS CALDEIRARIA PESADA
2821500,FAB TANQUES RESERV METALICOS CALDEIRAS
2821501,FABR TANQUES RESERV METL CALD AQUEC
2821502,MANUT REP TANQUES RESERV CALD AQUEC
2821503,FAB DE BUJOES P GAS GARRAFAS P OXIGENIO
2821504,FAB DE ESTRUTRURAS METALICAS E FERRAGEN
2821800,FABR TANQUES RESERV METAL CALD AQUEC
2822300,FAB CALDEIRAS GERADORAS DE VAPOR
2822301,FABR CALDEIRAS GERADORAS VAPOR
2822302,MANUT REP CALDEIRAS GERADORAS VAPOR
2822303,CALDEIRARIA PESADA P INDUSTRIA MECANICA
2822304,FAB CALDEIRAS GER VAPOR EXC AQUE CEN VEI
2822306,FAB DE MAQUINAS MOTRIZES NAO-ELETRICAS
2831200,PRODUCAO DE FORJADOS DE ACO
2831201,MONTAGEM INSTALACAO ELEVADORES ESCADA
2831202,COM ATAC FERRO E LAMINADOS ACO
2831203,COM VAREJ ACOS E METAIS EM GERAL
2831204,COM ATAC ACOS E METAIS EM GERAL
2832000,PROD FORJADOS METAIS N FER LIGAS
2833900,PRODUCAO ARTEFATOS ESTAMPADOS METAL
2834700,METALURGIA DO PO
2839800,TEMPERA CEMENTACAO TRAT TERMICO DO ACO
2839801,TEMPERA RECOZIMENTO CEMENTACAO DE METAIS
2841000,FABRICACAO DE ARTIGOS DE CUTELARIA
2842800,FAB ARTIGOS SERRALHERIA EXCLUSIVE ESQUAD
2842801,SERRALHERIA
2843600,FABRICACAO DE FERRAMENTAS MANUAIS
2881900,MAN REP TANQUES RES MET CALDEIRAS AQUEC
2882700,MAN REP CALD GER VAPOR EXC AQUEC CEN VEI
2891600,FABRICACAO DE EMBALAGENS METALICAS
2891601,FAB ETIQUETAS EMBALAGENS AUTOMACAO INDL
2891602,FAB ETIQUETAS EMBALAGENS AUTOMACAO COML
2891603,FAB MAQUINAS EQUIPAMENTOS AUTOMACAO INDL
2892400,FABRICACAO DE ARTEFATOS DE TREFILADOS
2892401,FABR PROD PADRON TREF FERRO ACO METAIS
2892499,FABR OUTROS PRODS TREFILADOS FERRO E ACO
2892500,FAB PARAFUSOS PINOS REBITES PORCAS ETC
2892501,FAB CADEADOS FECHADURAS DOBRADICAS ETC.
2892502,COM VAREJ MATS FIXACAO PARAFUSOS PORCAS
2892503,COM ATAC MATS FIXACAO PARAFUSOS PORCAS
2893200,FAB ART FUNILARIA ART METAL USO DOMEST
2893201,FUNILARIA E PINTURA EM GERAL
2899100,FAB OUTROS PRODUTOS ELABORADOS METAL
2911400,FAB MOTORES ESTACIONARIOS DE COMBUSTAO
2911401,FABR MOTORES ESTACION COMBUSTAO INTERNA
2911402,INSTAL REP MANUT MAQ MOTRIZES N ELETRICA
2911403,SERVICOS REPARACAO MANUTENCAO INSTALACAO
2911404,FAB TURB OUT MQ N EL INC PC EXC AVI VEIC
2911405,PROJETOS E INSTALACOES DE APARELHOS
2911406,PROJETOS INSTAL MANUT APARELHOS DE SOM
2911407,SERVS MANUT REP EQUIPAMENTOS INDUSTRIAL
2912200,FABRICACAO BOMBAS CARNEIROS HIDRAULICOS
2912201,FABR BOMBAS CARNEIROS HIDR INC PECAS
2912202,REP MANUT BOMBAS CARNEIROS HIDRAULICOS
2912203,COM VAREJISTA CARNEIRO HIDRAULICO
2913000,FABRICACAO VALVULAS TORNEIRAS REGISTROS
2913001,FABR VALV TORNEIRAS REGISTROS INC PECAS
2913002,REP MANUT VALVULAS INDUSTRIAIS
2914900,FABRICACAO DE COMPRESSORES
2914901,FABR COMPRESSORES INCLUSIVE PECAS
2914902,REPARAÇÃO MANUTENCAO COMPRESSORES
2915700,FAB EQUIP TRANSMISSAO FINS INDUSTRIAIS
2915701,FABR EQUIP TRANS FINS INDS INC ROL PECAS
2915702,REP MANUT EQUIP TRANS FINS INDUSTRIAIS
2921100,FAB FORNOS INDUST APAR EQUIP NAO ELETRIC
2921101,FABR FORNOS INDS APAR EQUIP N ELETR INST
2921102,INSTAL REP MANUT IND APAR EQUIP ELETRICO
2921103,FAB PILHAS BATERIAS ACUMULADORES ELETRIC
2921104,FAB FORNOS IN AP EQ N EL INST TER INC PC
2922000,FAB ESTUFAS ELETRICAS FINS INDUSTRIAIS
2922001,FABR ESTUFAS ELETR FINS INDS INC PECAS
2922002,INSTAL REP MANUT ESTUFAS FINS INDS
2923800,FAB MAQ EQUIP APAR TRANSP ELEVACAO CARGA
2924600,FAB MAQ APAR REFRIG VENTILACAO USO INDL
2924601,FABR MAQ APAR REFR VENT USO INDL INC PEC
2924602,INSTAL REP MANUT APAR REFR VENT USO INDL
2925400,FABRICACAO DE APARELHOS AR CONDICIONADO
2925401,COM VAREJISTA E MANUT DE AR CONDICIONADO
2929700,FAB OUTRAS MAQ EQUIPAMENTOS USO GERAL
2929701,FABR OUT MAQ EQUIP USO GERAL INC PECAS
2929702,INSTAL REP MANUT OUT MAQ EQUIP USO GERAL
2929704,FAB SEMAFAROS FAROIS MARITIMOS RADARES
2931900,FAB MAQ EQUIP AGRIC AVIC OBTENCAO PROD
2931901,FABR MAQ EQUIP AGRIC AVIC OBTENCAO PROD
2931902,INSTAL REP MANUT MAQ EQUIP AGRIC AVIC
2931904,FAB MAQ EQ AGRIC AVIC OBT PROD AN INC PC
2932700,FABRICACAO DE TRATORES AGRICOLAS
2932701,FABR TRATORES AGRICOLAS INCLUSIVE PECAS
2932702,REPARAÇÃO MANUT TRATORES AGRICOLAS
2940800,FABRICACAO MAQUINAS FERRAMENTA
2940801,FABR MAQ FERRAMENTA INCLUSIVE PECAS
2940802,INSTAL REP MANUT MAQUINAS FERRAMENTA
2940805,FAB ARADOS GRADES ADUBADORAS SEMEADEIRAS
2951300,FAB MAQ EQUIP IND PROSPEC EXTR PETROLEO
2951301,FABR MAQ EQUIP IND PROSPEC EXTR PETROLEO
2951302,INSTAL REP MANUT MAQ EQUIP PROSPEC EXTR
2951303,FAB MAQ EQUIP PROSP EXT PETR INC PECAS
2952100,FAB OUT MAQ EQ EXTR MINERIOS IND CONSTR
2952101,FABR OUT MAQ EQ EXTR MINERIOS IND CONSTR
2952102,INSTAL REP MANUT MAQ EQ EXTR MINERIOS
2952103,FAB OUT MAQ EQ USO EXT MIN CONST INC PCS
2953000,FAB TRATORES DE ESTEIRA USO CONSTR MINER
2953001,FABR TRAT ESTEIRAS TRAT USO CONSTR MINER
2953002,REP MANUT TRAT ESTEIRAS USO CONSTR MINER
2953003,FAB TRAT EST TRAT USO EXT MIN CON INC PC
2954800,FAB MAQ EQUIP TERRAPLENAGEM PAVIMENTACAO
2954801,FAB MAQ EQUIP TERRAPLENAGEM PAVIMENTACAO
2954802,REP MANUT MAQ EQUIP TERRAPL PAVIMENTACAO
2954803,FABRICA TRATORES MAQUINAS TERRAPLANAGEM
2961000,FAB MAQ IND METAL EXC MAQ FERRAMENTA
2961001,FAB MAQ IND METAL INC PECAS EXC MAQ FERR
2961002,INSTAL REP MANUT MAQ IND METALURGICA
2961003,INDUSTRIA METALURGICA
2961004,INDUSTRIA CONSTRUCAO
2961005,FAB MAQ IND MET INC PCS EXC MAQ-FERRAM
2961006,INDUSTRIA
2962900,FAB MAQ EQUIP P IND ALIMENTAR BEB FUMO
2962901,FAB MAQ EQ INDS ALIM BEB FUMO INC PECAS
2962902,INSTAL REP MAN MAQ EQ INDS ALIM BEB FUMO
2962904,FAB MAQ EQUIPAMENTOS COM ALIMENTOS
2962905,FAB MAQUINAS IND ALIMENTAR PANIFICACAO
2963700,FAB MAQ EQUIP P INDUSTRIA TEXTIL
2963701,FAB MAQ EQUIP P IND TEXTIL INC PECAS
2963702,INSTAL REP MANUT MAQ EQUIP P IND TEXTIL
2963703,FAB MAQ APAR EQUIP PECAS ACESSORIOS
2964500,FAB MAQ EQUIP P IND VESTUARIO COURO CALC
2964501,FAB MAQ EQ IND VEST COURO CALC INC PECAS
2964502,INSTAL REP MANUT MAQ EQUIP VESTUARIO
2965300,FAB MAQ EQ IND CELULOSE PAPEL PAPELAO
2965301,FAB MAQ APAR IND CELULOSE PAPEL PAPELAO
2965302,INSTAL REP MANUT APAR IND CELULOSE PAPEL
2965303,FAB MAQ EQUIP INDUSTRIA GRAFICA
2965304,FAB MQ AP IND CEL PAPEL PAP ARTEF INC PC
2969600,FAB OUTRAS MAQ EQUIP USO ESPECIFICO
2969601,FAB OUT MAQ EQUIP USO ESPEC INC PECAS
2969602,INSTAL REP MANUT IUT MAQ EQUIP USO ESPEC
2969603,IND MOLDES E INJECAO PLASTICA ESTAMPARIA
2971800,FAB DE ARMAS DE FOGO E MUNICOES
2971803,FAB MATERIAL BELICO EQUIPS MILITARES E
2972600,FAB EQUIPAMENTOS BELICO PESADO
2981500,FAB FOGOES REFR MAQ LAVAR SECAR USO DOM
2989000,FAB OUT APAR ELETRODOM INC PECAS
2991201,MAN REPARACAO MAQ MOTRIZES NAO ELETRICAS
2991202,MANUT REP BOMBAS E CARNEIROS HIDRAULICOS
2991203,MANUTENCAO REP DE VALVULAS INDUSTRIAIS
2991204,MANUTENCAO E REPARACAO DE COMPRESSORES
2991205,MAN REP EQUIP TRANSMISSAO PARA FINS INDL
2991206,AUTO ELETRICO MANUT REPAR INSTALACAO
2991207,AUTO MECANICA MANUT REPAR INSTALACAO
2992001,MAN REP FORNOS INDL AP EQ N EL INST TERM
2992002,MAN REP ESTUFAS E FORNOS ELETR FINS INDL
2992003,MAN REP MQ AP REF VEN USO IND COM INC PC
2992099,MAN REP OUT MAQUINAS EQUIP DE USO GERAL
2993901,MAN REP MAQ EQ AGRIC AVIC OBT PROD ANIM
2993902,MANUT REPARACAO DE TRATORES AGRICOLAS
2994700,MANUTENCAO REPARACAO MAQUINAS-FERRAMENTA
2995501,MAN REP MAQ EQUIP PROSP EXTR PETROLEO
2995502,MAN REP OUT MAQ EQUIP USO EXTR MIN CONST
2995503,MAN REP TRAT ESTEIRA TRAT USO EXT MI CON
2995504,MAN REP MAQ EQUIP TERRAP PAVIMENTACAO
2996301,MAN REP MAQ IND MET EXC MAQ-FERRAMENTA
2996302,MAN REP MAQ EQUIP IND ALIM BEBIDAS FUMO
2996303,MAN REP MAQ E EQUIP INDUSTRIA TEXTIL
2996304,MAN REP MAQ EQ IND VEST COURO CALCADOS
2996305,MAN REP MQ AP IND CELULOSE PAPEL PAP ART
2996399,MAN REP OUT MAQ EQUIP USO ESPECIFICO
3011200,FAB MAQ ESCR CALC COPIADORAS EQ N ELETR
3012000,FAB MAQ ESCR CALC COPIADORA EQ ELETRON
3021000,FABRICACAO DE COMPUTADORES
3022800,FAB EQUIP PERIF MAQ ELETRON TRAT INFORM
3111900,FAB GERADORES CORRENTE CONTINUA ALTERNAD
3111901,FAB GERADORES CORRENTE CONTINUA ALTERNAD
3111902,INSTAL REP MANUT GERADORES CONT ALTERNAD
3111903,FAB GERAD CORRENTE CONTINUA ALT INC PCS
3112700,FAB TRANSFORM INDUTORES CONVERSORES SINC
3112701,FAB TRANSF INDUTORES CONVERSORES SINCRON
3112702,INSTAL REP MANUT TRANSF INDUTORES CONV
3112703,FAB TRANSF IND CONV SINC SEM INC PECAS
3113500,FABRICACAO DE MOTORES ELETRICOS
3113501,FAB MOTORES ELETRICOS INC PECAS
3113502,RECUPERACAO MOTORES ELETRICOS
3121600,FAB SUBESTACOES QUADROS COMANDO REG VOLT
3122400,FAB MAT ELETRICO INSTAL CIRCUITO CONSUMO
3130500,FAB FIOS CABOS CONDUTORES ELETR ISOLADOS
3141000,FAB PILHAS BATERIAS ACUMULADORES ELETR
3142900,FAB BATERIAS ACUMULADORES P VEICULOS
3142901,FAB BATERIAS ACUMULADORES P VEICULOS
3142902,RECOND BATERIAS ACUMULADORES P VEICULOS
3151800,FABRICACAO DE LAMPADAS
3152600,FAB LUMINARIAS EQUIP ILUMINACAO EXC VEIC
3160700,FAB MATERIAL P VEICULOS EXC BATERIAS
3160705,FAB CARROCAS CARRETAS CHARRETES CARROS
3181001,MAN REP GERADORES CORRENTE CONTINUA ALT
3181002,MAN REP TRANSF IND CONV SINC SEMELHANTES
3181003,MAN REPARACAO DE MOTORES ELETRICOS
3181004,MANUT REPARACAO MOTORES MARIT IND VEIC
3189500,MANUT REPAR MAQ APAR MAT ELET N ESP ANT
3191700,FAB ELETRODOS CONTATOS OUTROS ART CARVAO
3192500,FAB APAR UTENSILIOS SINALIZACAO ALARME
3199200,FAB OUTROS APARELHOS EQUIP ELETRICOS
3210700,FABRICACAO MATERIAL ELETRONICO BASICO
3219701,FAB APARELHOS TRANSMISSAO IMAGEM E SOM
3221200,FAB EQUIP TRANSMISSORES RADIO TELEV
3221201,FAB EQUIP TRANSM RADIO TV EQ EST TELEF
3221202,MANUT EQUIP TRANSM RADIO TV EQ ESTACOES
3221203,FAB EQ P RADIOTELEFONIA RADIOTELEGRAFIA
3221204,FAB EQ MICROONDAS E REPETIDORAS INC PCS
3222000,FAB APAR TELEF SIST INTERCOM SEMELHANTES
3222001,FAB APAR TELF SIST INTERC SEMELHANTE PEC
3222002,MANUT REP APAR TELEF SIST INTERCOMUNIC
3230100,FAB APAR RECEPTORES RADIO TV REPROD GRAV
3290501,MAN EQUIP TRANSMISSORES RADIO TELEVISAO
3290502,MAN REP SIST INTERC SEMELHANTES EXC TEL
3290503,MAN EQUIP PARA ESTACOES TELEFONICAS
3290504,MAN EQ RADIOTEL RADIOTELEG MICROOND REP
3310300,FAB APAR INSTRUM USO MEDICO HOSPITALARES
3310301,FAB AP EQUIP MOB INSTAL HOSP CONSULT MED
3310302,FAB INSTR UTENS USO MED CIRURG ODONT LAB
3310303,FAB APAR UTENS COR DEF FISICO APAR ORTOP
3310304,MANUT REP AP UTEN USO MED HOSP ODONT LAB
3310305,SERVICOS DE PROTESE DENTARIA
3310306,FAB MATL EQUIPAMENTOS USO LABORATORIAIS
3310307,COM VAREJISTA APARELHOS FISIOTERAPICOS
3310308,COM ATAC DE APARELHOS FISIOTERAPICOS
3320000,FAB AP INST MED TES CONT EXC EQ PROC IND
3320001,FAB DE MAQUINAS APAR MEDICAO E CONTROLE
3320002,MANUT REPAR APARELHOS E INSTR. DE MEDIDA
3330800,FAB MAQ APAR EQUIP SISTEMAS ELETRONICOS
3330801,FAB MAQ APAR EQ SIST ELETR DEDIC AUTOM
3330802,MANUT INSTAL MAQ APAR EQUIP SIST ELETR
3330803,FAB MQ AP EQ SIST ELET AUT IND PROC PROD
3340500,FAB APAR INSTR MAT OPTICOS FOTOG CINEMA
3340501,FAB APAR FOTOGR CINEMATOG PECAS ACES
3340502,FABR INSTR OPTICOS PECAS ACESSORIOS
3340503,FABRICACAO MATERIAL OPTICO
3340505,FABRICACAO BIJOUTERIAS JOIAS EM GERAL
3340506,FAB ISOLANTES TERMICOS P AMBIENTES
3340508,FAB APAR INSTR DE MEDIDA TESTE CONTROLE
3350200,FABRICACAO CRONOMETROS RELOGIOS
3350201,IND COM CONSERTO RELOGIOS SISTEMA PONTO
3391000,MAN REP AP UTENS USOS MED HOSP ODONT LAB
3392800,MAN REP AP IN MEDIDA EXC EQ CON PROC IND
3393600,MAN MQ AP EQ SIST ELET AUT IND PROC PROD
3394400,MAN REP APAR INST OPTICOS CINEMATOGRAF
3410000,FAB AUTOMOVEIS CAMIONETAS UTILITARIOS
3410001,FABR AUTOMOVEIS CAMIONETAS UTILITARIOS
3410002,FABR CHASSIS MOTOR AUTOM CAMIONETAS UTIL
3410003,FAB MOTORES AUTOM CAMIONETAS UTILITARIOS
3410004,SERVICOS DE BORRACHARIA EM GERAL
3420700,FABRICACAO CAMINHOES E ONIBUS
3420701,FABRICACAO CAMINHOES E ONIBUS
3420702,FABR MOTORES P CAMINHOES ONIBUS
3431200,FAB CABINES CARROC REBOQUES P CAMINHAO
3432000,FABRICACAO CARROCERIAS P ONIBUS
3439800,FAB CABINES CARROC REBOQUES P OUTR VEIC
3441000,FAB PECAS ACESSORIOS P SISTEMA MOTOR
3442800,FAB PECAS ACES P SISTEMA MARCHA TRANSMIS
3443600,FAB PECAS ACESSORIOS P SISTEMA FREIOS
3444400,FAB PECAS ACES P SISTEMA DIRECAO SUSPEN
3449500,FAB PECAS ACES METAL P VEIC AUTOMOTORES
3449501,FAB BANCOS ESTOFADOS VEIC AUTOMOTORES
3449502,FAB PCS AC VEIC AUT N ESP ANTERIORMENTE
3450900,RECONDIC RECUP MOTORES VEIC AUTOMOTORES
3450901,INDUSTRIA MECANICA
3511400,CONSTR REP EMBARCACOES ESTRUT FLUTUANTES
3511401,CONSTR REP EMBARCACOES GRANDE PORTE
3511402,CONSTR REP EMBARCACOES USO COML ESPEC
3511403,COM VAREJ EMBARCACOES OUT VEIC RECREAT
3512200,CONSTR REPAR EMBARCACOES P ESPORTE LAZER
3512201,CONSTR EMBARCACOES P ESPORTE E LAZER
3512202,REPARAÇÃO DE EMBARCACOES DE LAZER
3521100,CONSTR MONTAGEM LOCOMOTIVAS VAGOES
3522000,FAB PECAS ACES P VEIC FERROVIARIOS
3523800,REPARAÇÃO DE VEICULOS FERROVIARIOS
3531900,CONSTRUCAO MONTAGEM DE AERONAVES
3532700,REPARAÇÃO DE AERONAVES
3591200,FABRICACAO MOTOCICLETAS INC PECAS
3592000,FAB BICICLETAS TRICICLOS N MOTORIZADOS
3592001,COM VAREJ PECAS E ACESS BICICLETAS
3599800,FABRICACAO OUTROS EQUIP TRANSPORTE
3611000,FAB MOVEIS C PREDOMINANCIA MADEIRA
3611001,FABR DE MOVEIS PREDOMINANCIA DE MADEIRA
3611002,SERV MONT MOV MADEIRA CONSUMIDOR FINAL
3612900,FAB MOVEIS C PREDOMINANCIA METAL
3612901,FABR DE MOVEIS PREDOMINANCIA DE METAL
3612902,SERV MONTAGEM MOV METAL CONSUMIDOR FINAL
3613700,FAB MOVEIS DE OUTROS MATERIAIS
3613701,FABR MOVEIS OUTROS MATERIAIS
3613702,SERV MONTAGEM MAT DIV EXC MADEIRA METAL
3613703,COM VAREJ MOVEIS OBJETOS ARTE DECORACAO
3613704,COM VAREJ ARTIGOS REVEST DECORATIVOS
3614500,FABRICACAO DE COLCHOES
3691900,LAPIDACAO PEDRAS PRECIOSAS SEMI PRECIOSA
3691901,LAPIDACAO DE GEMAS
3691902,FABR ARTEF JOALHERIA OURIVESARIA
3691903,CUNHAGEM DE MOEDAS MEDALHAS
3691904,COM ATACADISTA DE BIJOUTERIAS
3691905,COM ATAC OURO PRATA PLATINA GEMAS PREC
3691906,COM ATAC MINERAIS PRECIOSOS SEMI PRECIOS
3691907,COM VAREJ MINERAIS PRECIOSOS SEMI PREC
3691908,COM VAREJISTA DE BIJOUTERIAS
3691909,COM ATAC PECAS ACESS POCOS ARTESIANOS
3692700,FAB INSTR MUSICAIS PECAS ACESSORIOS
3693500,FAB ARTEFATOS P CACA PECA E ESPORTE
3693501,COM ATAC ARTIGOS DESPORTIVOS CACA PESCA
3693503,FAB ARTEFATOS EQUIPAMENTOS P ESPORTE
3694301,"FAB DE MESAS DE BILHAR,SNOOKER E ACESSOR"
3694302,"FAB DE MESAS DE BILHAR,SNOOKER E ACESSOR"
3694399,FAB DE BRINQUEDOS E JOGOS RECREATIVOS
3695100,FAB CANETAS LAPIS FITAS IMPRESSORAS
3696000,FABRICACAO DE AVIAMENTOS P COSTURA
3697800,FABRICACAO ESCOVAS PINCEIS VASSOURAS
3697801,COM VAREJISTA PINCEIS BROXAS ROLOS
3699400,FABRICACAO DE PRODUTOS DIVERSOS
3699401,DEC LAP GRAV ESP BISOTAGEM VITRIF TRAB
3699499,FABRICACAO DE PRODUTOS DIVERSOS
3710901,RECICLAGEM DE SUCATAS DE ALUMINIO
3710999,RECICLAGEM DE OUTRAS SUCATAS METALICAS
3720600,RECICLAGEM SUCATAS NAO METALICAS
4010000,PRODUCAO DISTRIBUICAO ENERGIA ELETRICA
4010001,PRODUCAO DE ENERGIA ELETRICA
4010002,TRANSMISSAO DISTR ENERGIA ELETRICA
4010003,SERV MEDICAO CONS ENERGIA ELETRICA
4010005,DISTRIBUICAO DE ENERGIA ELETRICA
4010006,GERACAO DISTRIBUICAO ENERGIA ELETRICAS
4011800,PROD GERACAO EN ELETR INC PROD INTEGRADA
4012600,TRANSMISSAO DE ENERGIA ELETRICA
4013400,COMERCIALIZACAO DE ENERGIA ELETRICA
4014200,DISTRIBUICAO DE ENERGIA ELETRICA
4020700,PRODUCAO DISTR GAS ATRAVES TUBULACOES
4020701,PRODUCAO DISTR GAS ATRAVES TUBULACOES
4020702,DIST COMB GASOSOS QUALQUER TIPO SIST TUB
4020703,SERVICOS MEDICAO CONSUMO DE GAS
4030400,PRODUCAO DISTRIBUICAO VAPOR AGUA QUENTE
4100900,CAPTACAO TRATAMENTO DISTRIBUICAO DE AGUA
4100901,CAPTACAO TRATAMENTO DIST AGUA CANALIZADA
4100902,SERV MEDICAO CONSUMO AGUA
4221700,EDIFICACOES AMPLIACAO REFORMAS COMPLETAS
4511000,DEMOLICAO PREPARACAO DO TERRENO
4511001,DEMOLICAO EDIFICIOS OUTRAS ESTRUTURAS
4511002,PREPARACAO DE TERRENOS
4511003,MONTAGEM DE ESTRUTURAS PRE MOLDADAS
4512800,PERFUR EXEC FUNDACOES DESTIN CONST CIVIL
4512801,PERFURACOES EXEC FUND DEST CONSTR CIVIL
4512802,SONDAGENS DESTINADAS CONSTRUCAO CIVIL
4512803,CONSTRUCAO PESADA
4512804,CONSTRUCAO
4512806,INDUSTRIA E COMERCIO DE LAJES EM GERAL
4513600,TERRAPLENAGEM OUTRAS MOVIMENTACOES TERRA
4521700,EDIFICACOES RES INDS COMS SERV AMPL REF
4521701,EDIFICACOES RES INDL COML E DE SERVICOS
4521702,ADMINISTRAÇÃO DE OBRAS
4521706,SERVS ENGENHARIA DE FUNDACOES DO SOLOS
4521707,SERVS ENGENHARIA PERFURACAO DO SOLO
4521708,COMERCIO VAREJISTA CORRETIVOS DO SOLO
4522500,OBRAS VIARIAS INCLUSIVE MANUTENCAO
4522501,OBRAS VIARIAS ROD VIAS FERREAS AEROPORTO
4522502,PINTURA SINALIZACAO PISTAS ROD AEROPORTO
4522503,OBRAS DE URBANIZACAO E PAISAGISMO
4522504,CONSTR USINA HIDRELETRICA TERMOELETRICA
4523300,GRANDES ESTRUTURAS E OBRAS DE ARTE
4524100,OBRAS URBANIZACAO E PAISAGISMO
4525000,MONTAGENS INDUSTRIAIS
4525001,MONT ESTRT METALICAS EXCLUSIVE ANDAIMES
4525002,MONTAGENS DE ANDAIMES
4529200,OBRAS DE OUTROS TIPOS
4529201,OBRAS MARITIMAS FLUVIAIS
4529202,OBRAS DE IRRIGACAO
4529203,CONSTRUCAO REDES DE AGUA E ESGOTO
4529204,CONSTR REDES TRANSPORTES POR DUTOS
4529205,PERFURACAO CONSTR POCOS DE AGUAS
4529206,CONSTRUCAO CIVIL
4529207,PERFURACAO CONSTR POCOS DE PETROLEO
4529208,CONSTRUCAO DE PLATAFORMAS PETROLIFERAS
4529299,OUTRAS OBRAS ENGENHARIA CIVIL
4531400,CONST BARRAGENS REPRESAS GER ENERG ELETR
4531401,CONSTR BARRAGENS REPRESAS GERACAO EN ELE
4531402,CONSTR EST REDES DISTR ENERGIA ELETRICA
4531403,MAN REDES DISTRIBUICAO ENERGIA ELETRICA
4531404,CONSTRUC BARRAGEM ACUDES OBRAS IRRIGACAO
4532200,CONST ESTACOES REDES DISTR ENERGIA ELET
4532201,CONSTR ESTACOES REDES DISTR ENERG ELETR
4532202,MANUT REDES DISTR ENERGIA ELETRICA
4533001,CONSTR DE ESTACOES E REDES DE TEFEFONIA
4533002,MANUT DE ESTACOES E REDES DE TELEFONIA
4534900,CONST OBRAS PREV RECUPER MEIO AMBIENTE
4541100,INSTALACOES ELETRICAS
4541101,SERV INSTALACOES FORROS DIVISORIAS
4541102,INSTAL MAN ELETR EDIFICACOES INC ANTENAS
4541103,INST MAN REP ELEVAD ESC EST ROL EXC FAB
4542000,INST SISTEMA AR CONDICIONADO VENTILACAO
4543800,INST HIDRAUL SANIT GAS SIST PREV C INCEN
4543801,INSTALACOES HIDRAULICAS SANITARIAS GAS
