id_cartao,id_fofa_lista,conteudo,quadro,ordem,autor_criacao,autor_edicao,data_criacao,data_edicao
1,1,Equipe,1,1,46705171634,46705171634,2021-06-08 10:02:47,2021-06-08 10:02:47
2,1,Histórico,1,2,46705171634,46705171634,2021-06-08 10:03:27,2021-06-08 10:03:27
3,1,Capilaridade,1,3,46705171634,46705171634,2021-06-08 10:03:52,2021-06-08 10:03:52
4,1,Iniciativas individuais nas ACEs,4,1,46705171634,46705171634,2021-06-08 10:04:20,2021-06-08 10:04:20
5,1,Novo projeto com Sebrae,2,1,46705171634,46705171634,2021-06-08 10:04:32,2021-06-08 10:04:32
6,1,Pandemia,4,2,46705171634,46705171634,2021-06-08 10:04:57,2021-06-08 10:04:57
7,1,Conco,4,3,46705171634,46705171634,2021-06-08 10:05:28,2021-06-08 10:05:28
