idbanco,dsbanco
656,BANCO MATRIX S.A
658,BANCO PORTO REAL S/A
7  ,BCO NACIONAL DE DESENV.ECONOM.
70 ,BANCO DE BRASILIA
702,BANCO SANTOS S.A.
707,BANCO DAYCOVAL S.A.
718,BANCO OPERADOR S.A.
719,BANCO PRIMUS S.A.
720,BANCO MAXINVEST S.A.
721,BANCO CREDIBEL S.A.
722,BANCO INTERIOR DE SAO PAULO S.
725,BANCO FINANSINOS S.A.
729,BANCO FONTE CINDAM S.A.
732,BANCO MINAS S.A.
733,BANCO DAS NACOES S/A
734,GERDAU S.A.
735,BANCO POTTENCIAL S.A.
737,BANCO THECA S.A.
738,MORADA
739,BGN - BCO GALVAO DE NEGOCIOS S
740,BARCLAYS E GALICIA S.A.
741,BANCO RIBEIRAO PRETO S.A.
742,BANCO EQUATORIAL S/A
743,BANCO EMBLEMA S.A
744,THE FIRST NAT. BANK OF BOSTON
745,BANCO CITIBANK S/A
746,MODAL
747,BANCO RABOBANK INTERNATIONAL D
748,BANCO COOPERATIVO SICREDI
749,BR MERCANTIL S/A
750,REPUBLIC NATIONAL OF NEW YORK
751,DRESDNER BANK LATEINAMERIKA S.
752,BANQUE NATIONALE DE PARIS S.A.
753,BANCO COMERCIAL URUGUAY
755,MERRIL LYNCH S.A.
756,BANCO SICOOB S/A
757,BANCO KEB DO BRASIL S.A.
77 ,BANCO INTER S.A
8  ,BANCO MERIDIONAL
85 ,Cooperativa Central AILOS
