idprojeto,idempresa,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,flativo
6,37254,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37255,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37256,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37257,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37258,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37259,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37260,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37261,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37262,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37263,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37264,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37266,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37268,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37269,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37270,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37271,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37272,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37273,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37274,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37276,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37278,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37279,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37280,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37281,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37282,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37283,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37284,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37285,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37287,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,37288,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,38777,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,38785,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
6,40619,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:11:31,gladson.lima,S
7,26799,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,26800,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,26801,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27455,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27456,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27457,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27458,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27459,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
7,27460,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22391,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22392,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22399,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22401,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22402,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22403,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22405,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,22406,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,26154,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
8,26214,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,25472,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,26268,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,26289,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,26290,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,26292,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
9,26302,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22786,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22787,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22789,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22790,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22791,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22792,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22793,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22794,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22795,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22797,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22800,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22803,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22804,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22807,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,22809,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,23121,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,23122,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
10,26813,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3149,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3154,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3611,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3620,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3778,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,3899,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
11,21862,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10346,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10348,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10349,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10350,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10354,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10361,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10641,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,10724,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,11088,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,25503,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,30800,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
12,31296,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:21,gladson.lima,S
14,6647,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,6648,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,6649,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,6652,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,6653,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:08:50,gladson.lima,S
14,6655,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,22298,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,22300,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
14,25870,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,6386,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,17531,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,17960,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,17973,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,17987,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,23517,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,23863,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,24991,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,24992,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
15,28938,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:06,gladson.lima,S
16,3888,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,6564,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19755,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19758,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19881,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19893,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19925,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,19929,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,20036,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,23236,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,24878,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,25943,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
16,28342,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:06,gladson.lima,S
17,6008,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,6009,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,6010,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,6011,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,6012,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,6015,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,24661,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
17,24663,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,17802,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,22716,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,24195,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,24197,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,25783,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,25785,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
18,27951,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:00,gladson.lima,S
18,27953,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:00,gladson.lima,S
18,32258,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:29,gladson.lima,S
18,34534,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:56,gladson.lima,S
19,4433,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,4435,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,10478,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,11105,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,24254,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,25786,2018-05-07 10:14:48,gladson.lima,2018-05-07 10:14:48,gladson.lima,S
19,35667,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:10:09,gladson.lima,S
19,37309,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:10:33,gladson.lima,S
20,28025,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:00,gladson.lima,S
20,28027,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:01,gladson.lima,S
20,28028,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:01,gladson.lima,S
20,28030,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:01,gladson.lima,S
20,28031,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:01,gladson.lima,S
20,28033,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:02,gladson.lima,S
20,28035,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:02,gladson.lima,S
20,28036,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:02,gladson.lima,S
20,28038,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:02,gladson.lima,S
20,28040,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:03,gladson.lima,S
20,28041,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:03,gladson.lima,S
20,28042,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:03,gladson.lima,S
20,28043,2018-05-07 10:14:48,gladson.lima,2021-09-27 08:09:03,gladson.lima,S
