idprojeto,nuacao,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2036,1,2023-09-01,np,2022-11-29 15:32:53,rcarrijo,2022-11-29 15:32:53,rcarrijo
2036,1,2023-11-30,fp,2022-11-29 15:32:53,rcarrijo,2022-11-29 15:32:53,rcarrijo
2036,1,2023-11-30,np,2022-11-07 14:21:37,gabriel.g,2022-11-07 14:21:37,gabriel.g
2036,2,2023-06-15,np,2022-11-29 15:41:52,rcarrijo,2022-11-29 15:41:52,rcarrijo
2036,2,2023-08-15,fp,2022-11-29 15:41:52,rcarrijo,2022-11-29 15:41:52,rcarrijo
2036,2,2023-10-01,di,2022-11-03 13:41:56,gabriel.g,2022-11-03 13:41:56,gabriel.g
2036,3,2022-11-01,di,2022-11-03 13:43:57,gabriel.g,2022-11-03 13:43:57,gabriel.g
2036,3,2023-02-01,np,2022-11-29 15:17:56,rcarrijo,2022-11-29 15:17:56,rcarrijo
2036,3,2023-04-30,fp,2022-11-29 15:17:56,rcarrijo,2022-11-29 15:17:56,rcarrijo
2036,4,2023-03-01,di,2022-11-03 13:45:07,gabriel.g,2022-11-03 13:45:07,gabriel.g
2036,4,2023-05-01,np,2022-11-29 15:23:23,rcarrijo,2022-11-29 15:23:23,rcarrijo
2036,4,2023-07-31,fp,2022-11-29 15:23:23,rcarrijo,2022-11-29 15:23:23,rcarrijo
2036,5,2022-11-01,di,2022-11-03 13:46:19,gabriel.g,2022-11-03 13:46:19,gabriel.g
2036,5,2023-02-01,np,2022-11-29 15:21:13,rcarrijo,2022-11-29 15:21:13,rcarrijo
2036,5,2023-12-31,fp,2022-11-29 15:21:13,rcarrijo,2022-11-29 15:21:13,rcarrijo
2037,1,2023-01-02,np,2022-11-29 14:49:04,rcarrijo,2022-11-29 14:49:04,rcarrijo
2037,1,2023-03-01,di,2022-11-07 10:14:19,gabriel.g,2022-11-07 10:14:19,gabriel.g
