id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
35,73,Resultado Finalístico 1,"Promover a melhoria de 2 processos nas empresas, sejam produtivos ou gerenciais.",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
36,1011,Resultado Finalístico 1,Aumentar em 20% o faturamento das empresas nucleadas na ACE AP até 31/12/19,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
37,1012,Resultado Finalístico 1,Aumentar em 5% o faturamento das empresas nucleadas até 31/12/19,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
38,1013,Resultado Finalístico 1,Aumentar em 5% o faturamento das empresas nucleadas até 31/12/19,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
39,1320,Resultado Finalístico 1,Empresas capacitadas,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
40,72,Resultado Finalístico 1,Aumentar em 25% o faturamento das empresas nucleadas ao final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
41,99,Resultado Finalístico 1,Implantar um processo interno de controle para cada pilar da gestão até maio/2015: Planejamento Estratégico / Finanças e custos / Produção,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
42,63,Resultado Finalístico 1,Aumentar o faturamento em 15% até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
43,21,Resultado Finalístico 1,"Aumentar em 60% os modelos de máquinas importadas, entre elas os modelos especiais como eletrônicas e bordadeiras",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
44,93,Resultado Finalístico 1,Ampliar a carteira de cliente em 15% até jul/2015.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
46,1015,Resultado Finalístico 1,Aumentar a ocupação media dos hoteis em 10% até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
